code,term
L181z,Thyroid dysfunction in pregnancy/childbirth/puerperium NOS
PK20.,Absent parathyroid gland (& congenital)
PK21.,Accessory thyroid gland
PK22.,Persistent thyroglossal duct
PK23.,Thyroglossal cyst
PK25.,Anomalies of thyroid gland NEC
PK250,(Congen) or (acq) aberrant thyroid gland (& [retrosternal])
PK251,Congenital thyroid aplasia
PK25z,Anomaly of thyroid gland NEC NOS
PK26.,Anomalies of thyroglossal duct NEC
Q4337,Neonatal jaundice with congenital hypothyroidism
Q443.,Neonatal thyrotoxicosis
Qyu64,"[X]Other transitory neonatal disorders/thyroid function,NEC"
Qyu6A,"[X]Neonatal goitre, not elsewhere classified"
S842.,Open wound of thyroid
S843.,Open wound of thyroid with complication
X005I,Myxoedema coma
X40Dj,Postpartum thyroiditis
X40Ge,Diffuse goitre
X40Gf,Colloid goitre
X40Gg,Thyroid nodule
X40Gh,Thyroid colloid nodule
X40Gi,Adenomatous goitre
X40Gj,Toxic goitre
X40Gk,Thyrotoxicosis due to Graves' disease
X40Gl,Thyrotoxicosis due to Hashimoto's thyroiditis
X40Gm,Hashitoxicosis - transient
X40Gn,Thyrotoxicosis due to acute thyroiditis
X40Go,Toxic nodular goitre
X40Gq,Toxic thyroid nodule
X40Gs,T3 toxicosis
X40Gt,Borderline thyrotoxicosis
X40Gu,Autonomous thyroid function
X40Gv,Apathetic thyrotoxicosis
X40Gw,Thyrotoxicosis in pregnancy
X40Gx,HCG-induced thyrotoxicosis
X40Gy,Factitia thyrotoxicosis
X40Gz,Iatrogenic thyrotoxicosis
X40H0,Thyrotoxicosis on thyroxine therapy
X40H1,Iodine-induced thyrotoxicosis
X40H2,Amiodarone-induced thyrotoxicosis
X40H3,Thyroid crisis
X40H4,Thyrotoxicosis due to inappropriate TSH secretion
X40H5,Thyrotoxicosis due to TSHoma
X40H7,Thyrotoxicosis due to struma ovarii
X40H8,Congenital hypothyroidism without goitre
X40HA,Congenital thyroid hypoplasia
X40HB,Congenital atrophy of thyroid
X40HC,Congenital hypothyroidism with ectopic thyroid
X40HD,"Hypothyroid goitre, acquired"
X40HE,Autoimmune hypothyroidism
X40HF,Hypothyroidism due to Hashimoto's thyroiditis
X40HG,Hypothyroidism due to TSH receptor blocking antibody
X40HH,Borderline hypothyroidism
X40HI,Compensated hypothyroidism
X40HJ,Compensated euthyroidism
X40HK,Euthyroid with thyroid antibodies
X40HL,Iatrogenic hypothyroidism
X40HM,Postablative hypothyroidism
X40HN,Radioactive iodine-induced hypothyroidism
X40HO,Drug-induced hypothyroidism
X40HP,Post-infectious hypothyroidism
X40HR,Acute viral thyroiditis
X40HS,De Quervain's thyroiditis
X40HT,Giant-cell thyroiditis
X40HU,Granulomatous thyroiditis
X40HV,Non-suppurative subacute thyroiditis
X40HW,Hashimoto's thyroiditis
X40HY,Lymphadenoid goitre
X40HZ,Lymphocytic thyroiditis - autoimmune
X40Ha,Struma lymphomatosis
X40Hc,Chronic thyroiditis
X40Hd,Chronic thyroiditis with transient thyrotoxicosis
X40He,Riedel's thyroiditis
X40Hf,Drug-induced thyroiditis
X40Hg,Ligneous thyroiditis
X40Hh,Silent thyroiditis
X40Hi,Sick-euthyroid syndrome
X40Hj,Thyroid hormone binding abnormality
X40Hk,Thyroid-binding globulin deficiency
X40Hl,Drug interference with thyroid-binding globulin
X40Hm,Thyroid-binding globulin high
X40Hn,Familial dysalbuminaemic hyperthyroxinaemia
X40Ho,Thyroid pre-albumin binding abnormality
X40Hp,Dysprealbuminaemic euthyroidal hyperthyroxinaemia
X40Hq,Euthyroid hypothyroxinaemia
X40Hr,Euthyroid hyperthyroxinamia
X40Hs,C-cell hyperplasia of thyroid
X40Ht,Hypersecretion of thyrocalcitonin
X40Hu,Familial dyshormonogenetic goitre
X40Hv,Hypothyroidism due to iodide trapping defect
X40Hw,Hypothyroidism due to iodide organification defect
X40Hx,Hypothyroidism due to coupling defect
X40Hy,Hypothyroidism due to deiodase defect
X40Hz,Hypothyroidism due to thyroglobulin synthesis defect
X40I0,Thyroid lump
X40I1,Atrophy of thyroid - acquired
X40I2,Thyroid hormone resistance syndrome
X40I3,Generalised thyroid hormone resistance
X40I4,Pituitary thyroid hormone resistance
X40I5,Iodine deficiency syndrome
X40I6,Congenital iodine deficiency syndrome
X40I7,Congenital iodine deficiency hypothyroidism
X40I8,Congenital iodine deficiency syndrome - myxoedematous type
X40I9,Congenital iodine deficiency syndrome - mixed type
X40IA,Congenital iodine deficiency syndrome - neurological type
X40IB,Subclinical iodine deficiency hypothyroidism
X40IE,Uninodular goitre
X40IG,Multinodular goitre
X40II,Iodine-deficiency-related multinodular endemic goitre
X40IJ,Retrosternal goitre
X40IQ,Hypothyroidism
X40Ia,Tumour of thyroid gland
X40Ib,Injury of thyroid gland
X40LB,Isolated TSH deficiency
X40LC,Idiopathic TSH deficiency
X40OO,Thyroid-associated dermopathy
X40OP,Pretibial myxoedema
X40OQ,Thyroid acropachy
X40Oi,Ectopic parathyroid hormone-related protein secretion
X40RF,Hyperparathyroid bone disease
X74WT,Thyroid disease monitoring status
X769C,Hypothyroid facies
X76FB,Goitre
X78EV,Congenital malformation of thyroid gland
X78cP,Follicular thyroid carcinoma
X78cQ,Papillary thyroid carcinoma
X78cR,Mixed follicular and papillary thyroid carcinoma
X78cS,Anaplastic thyroid carcinoma
X78cT,Medullary thyroid carcinoma
X78cV,Thyroid adenoma
X78cW,Thyroid follicular adenoma
X78l5,Metastasis to thyroid
XA06Z,Thyroid gland haematoma
XA06a,Contusion of thyroid gland
XA06b,Fragmentation of thyroid gland
XC0fX,Thyroid dysfunction
XE100,Disorder of thyroid gland
XE101,Simple goitre
XE102,Goitre NOS
XE103,Non-toxic nodular goitre NOS
XE104,Thyrotoxicosis
XE105,Toxic diffuse goitre
XE106,Thyrotoxicosis of other specified origin
XE107,Congenital hypothyroidism NOS
XE108,Acquired hypothyroidism
XE109,Post-surgical hypothyroidism
XE10A,Hypothyroidism NOS
XE10B,Subacute thyroiditis
XE10C,Autoimmune thyroiditis
XE10D,Chronic fibrous thyroiditis
XE120,"(Goitre, non tox [& simple/nodul]) or (thyr nodule, non tox)"
XE122,Thyrotoxicosis: [+/- goitr][tox goitr][Graves dis][thyr nod]
XE124,Hypothyroidism - congen and acquir (& [cretinism][myxoedem])
XE126,Chronic thyroiditis (& [Hashimoto's disease])
XE12W,(Hypoparathyroidsm) or (pseud-hypoparathyroidsm) or (tetany)
XE12c,"(Pit,parathy,thym NOS)(Forbe-Albr)(pit hypof [& NOS])(Sheeh)"
XE1Mj,Aberrant thyroid gland
XE1T4,Thyroid disease treatment started
XE1T5,Thyroid disease treatment stopped
XE1wD,Benign tumour of thyroid gland
XE20r,Benign thyroid tumour: [adenoma]
XM0Ap,Iodine-deficiency-related endemic goitre
XM0tJ,Thyroid disease in pregnancy
XM1RC,H/O: thyroid disorder
XS29G,Thyroid eye disease
Xa08e,Perinatal thyroid disorder
Xa08f,Neonatal goitre
Xa08g,Transient neonatal hypothyroidism
Xa09v,Transient neonatal hyperthyroidism
Xa09w,Transient hypothyroxinaemia
Xa09x,Transient hypothyrotropinaemia
Xa0bR,Malignant lymphoma of thyroid gland
Xa0l7,Congenital hypothyroidism with diffuse goitre
Xa3ea,"Goitre, non-toxic NOS"
Xa3eb,Thyrotoxicosis with or without goitre
Xa3ec,Hypothyroidism - congenital and acquired
Xa3ed,Acquired hypothyroidism NOS
Xa6bK,Retrosternal thyroid gland
Xa6bL,Sublingual thyroid gland
Xa9Am,Hypersecretion of calcitonin
Xa9DE,Laceration of thyroid gland
Xa9IT,Thyroglossal duct anomaly
XaBwg,Thyroxine Rx started
XaC2x,Thyroxine Rx stopped
XaDuT,Thyroid infection
XaFr6,Local recurrence of malignant tumour of thyroid gland
XaJ4T,Exception reporting: thyroid quality indicators
XaJ4q,Excepted from thyroid quality indicators: Patient unsuitable
XaJ4r,Excepted from thyroid quality indicators: Informed dissent
XaJ9F,Subclinical hypothyroidism
XaJDU,Did not attend hyperthyroidism clinic
XaJYj,Hypothyroidism clinical management plan
XaJuE,Hypothyroidism monitoring administration
XaJuI,Hypothyroidism monitoring invitation
XaJuM,Hypothyroidism monitoring first letter
XaJuN,Hypothyroidism monitoring second letter
XaJuO,Hypothyroidism monitoring third letter
XaKbz,Hypothyroidism monitoring verbal invite
XaKcQ,Hyperthyroidism resolved
XaLOz,Thyroid monitoring call
XaLP0,Thyroid monitoring call first letter
XaLP1,Thyroid monitoring call second letter
XaLP2,Thyroid monitoring call third letter
XaLUg,Hypothyroidism review
XaMFm,Hypothyroidism monitoring telephone invitation
XaNLc,CHT not screened for or screening incomplete
XaOjl,Hypothyroidism annual review
XaQbN,Dysthyroid exophthalmos
XaZtG,Subclinical hyperthyroidism
Xac7N,Congenital hypothyroidism screening related finding
Xac9B,"Con hypothyrdsm screen, too young for reliable screening"
Xac9C,"Con hypothyrd sc, smpl tkn too soon aftr bl transfus (<72hr)"
Xac9D,"Congenital hypothyroidism screening, insufficient sample"
Xac9E,"Con hypothyrd sc, unsuit smpl (bld qual): incorrct bld appli"
Xac9F,"Con hypothyrdsm sc, unsuit smpl (bld qual): compressd/damagd"
Xac9G,"Con hypothyrdsm sc, unsuitbl smpl: day 0 and day 5 same card"
Xac9H,"Con hypothyrdsm sc, unsuit smpl: NHS No. miss/not accu recrd"
Xac9I,"Con hypothyrdsm sc, unsuit smpl: date smpl miss/not acc rcrd"
Xac9J,"Con hypothyrdsm sc, unsuitbl smpl: DOB not accurately matchd"
Xac9K,"Con hypothyrdsm screen, unsuitable sample: expired card used"
Xac9M,"Con hypothyrdsm sc, unsuit smpl: >14d trnsit, too old analys"
Xac9N,"Con hypothyrdsm screen, unsuitable sampl: damaged in transit"
Xac9O,"Con hypothyroidism screening, too premature for testing"
Xac9R,"Con hypothyrdsm not scr or incmplt: >1yr, too old for screen"
Xac9S,"Con hypothyrdsm not scr for or scr incmplt, movd out of area"
Xac9T,"Con hypothyrdsm nt sc or incmpt, nt cntctbl, rsnbl effrt mde"
Xac9U,"Con hypothyroidsm not scr for or scr incmplt, baby died"
Xac9V,"Con hypothyrdsm nt scr or incmplt, not reqd, prev valid rslt"
XacML,Thyroid monitoring SMS text message invitation
XacMM,Thyroid monitoring SMS text message first invitation
XacMN,Thyroid monitoring SMS text message 2nd invitation
XacMO,Thyroid monitoring SMS text message third invitation
Y1291,Hypothyroidism Review
Y1575,Thyroid monitoring 1st letter
Y1576,Thyroid monitoring 2nd letter
Y1577,Thyroid monitoring 3rd letter
Y1578,Thyroid monitoring offer default
Y2707,Hypothyroidism positive
Y3828,Congenital hypothyroidism test positive
YA561,Congenital hypothyroidism screening positive
