Allergic condition,Read code,Term
angioedema or urticaria,X508S,Delayed pressure urticaria
angioedema or urticaria,X508T,Familial cold urticaria
angioedema or urticaria,X508U,Cold reflex urticaria
angioedema or urticaria,X508V,Delayed cold sensitivity
angioedema or urticaria,X508W,Persisting cholinergic urticaria
angioedema or urticaria,X508X,Cholinergic pruritus
angioedema or urticaria,X508Z,Reflex urticaria
angioedema or urticaria,X70w7,Exercise anaphylaxis
angioedema or urticaria,X70wB,Acquired C1 esterase inhibitor deficiency
angioedema or urticaria,X70wC,Venom-induced angio-oedema-urticaria
angioedema or urticaria,X70wD,Food-induced angio-oedema-urticaria
angioedema or urticaria,X70wE,Drug-aggravated angio-oedema-urticaria
angioedema or urticaria,X70wF,NSAID-induced angio-oedema-urticaria
angioedema or urticaria,X70wG,Aspirin-induced angio-oedema-urticaria
angioedema or urticaria,X70wH,ACE inhibitor-aggravated angio-oedema-urticaria
angioedema or urticaria,X70wI,Chemical-aggravated angio-oedema-urticaria
angioedema or urticaria,X70wJ,Azo-dye-induced angio-oedema-urticaria
angioedema or urticaria,X70wK,Sodium benzoate-induced angio-oedema-urticaria
angioedema or urticaria,X70wL,Latex-induced angio-oedema-urticaria
angioedema or urticaria,Xa0WK,Penicillin-induced angio-oedema-urticaria
angioedema or urticaria,Xa8Ea,Idiopathic cold urticaria
angioedema or urticaria,Xa8Eb,Cold urticaria with agglutinins
angioedema or urticaria,Xa8Ec,Cold urticaria with cryoglobulins
angioedema or urticaria,Xa8Ef,Bullous urticaria
angioedema or urticaria,Xa8Eg,Arthus reaction
angioedema or urticaria,Xa8EW,Acute idiopathic urticaria
angioedema or urticaria,Xa8EX,Chronic idiopathic urticaria
angioedema or urticaria,Xa8EY,Idiopathic micropapular urticaria
angioedema or urticaria,Xa9DQ,Urticarial transfusion reaction
angioedema or urticaria,XC0si,Minimal urticarial dose
angioedema or urticaria,XE1BR,Allergic urticaria
angioedema or urticaria,XE1BS,Other specified urticaria
angioedema or urticaria,XE1BT,Urticaria NOS
angioedema or urticaria,XE1D0,(Urticaria NOS) or (hives) or (pachydermia)
angioedema or urticaria,XE1tH,(Angioneurotic oedema) or (urticaria)
angioedema or urticaria,XE2aJ,Dermographism
conjunctivitis,F4A31,Vernal conjunctivitis
conjunctivitis,F4C06,Acute atopic conjunctivitis
conjunctivitis,F4C1.,Chronic conjunctivitis
conjunctivitis,F4C10,Unspecified chronic conjunctivitis
conjunctivitis,F4C11,Simple chronic conjunctivitis
conjunctivitis,F4C12,Chronic follicular conjunctivitis
conjunctivitis,F4C13,Vernal conjunctivitis
conjunctivitis,F4C14,Other chronic allergic conjunctivitis
conjunctivitis,F4C1z,Chronic conjunctivitis NOS
conjunctivitis,X00Zi,Atopic conjunctivitis
conjunctivitis,X00Zj,Seasonal allergic conjunctivitis
conjunctivitis,X00Zk,Perennial allergic conjunctivitis
conjunctivitis,X00Zl,Giant papillary conjunctivitis
conjunctivitis,XaF7u,Contact lens related giant papillary conjunctivitis
conjunctivitis,XE16b,Other chronic allergic conjunctivitis
drug allergy,_NONE,NA
drug allergy,14L..,H/O: drug allergy
drug allergy,14L1.,H/O: penicillin allergy
drug allergy,14L2.,H/O: antibiotic allergy NOS
drug allergy,14L3.,H/O: anaesthetic allergy
drug allergy,14L4.,H/O: analgesic allergy
drug allergy,14L5.,H/O: vaccine allergy
drug allergy,14L50,H/O: rotavirus vaccine allergy
drug allergy,14L6.,H/O: serum allergy
drug allergy,14L7.,H/O: cephalosporin allergy
drug allergy,14L8.,H/O: tetracycline allergy
drug allergy,14L9.,H/O: gentamicin allergy
drug allergy,14La.,H/O: raloxifene allergy
drug allergy,14LA.,H/O: erythromycin allergy
drug allergy,14Lb.,H/O: teriparatide allergy
drug allergy,14LB.,H/O: neomycin allergy
drug allergy,14Lc.,H/O denosumab allergy
drug allergy,14LC.,H/O: chloramphenicol allergy
drug allergy,14Ld.,H/O calcitonin allergy
drug allergy,14LD.,H/O: sulphonamide allergy
drug allergy,14LE.,H/O: trimethoprim allergy
drug allergy,14LF.,H/O: co-trimoxazole allergy
drug allergy,14LG.,H/O: metronidazole allergy
drug allergy,14LH.,H/O: nalidixic acid allergy
drug allergy,14LI.,H/O: nitrofurantoin allergy
drug allergy,14LJ.,H/O: influenza vaccine allergy
drug allergy,14LK.,H/O: aspirin allergy
drug allergy,14LL.,H/O: betablocker allergy
drug allergy,14LM.,H/O: angiotensin converting enzyme inhibitor allergy
drug allergy,14LN.,H/O: angiotensin II receptor antagonist allergy
drug allergy,14LP.,H/O: warfarin allergy
drug allergy,14LQ.,H/O: clopidogrel allergy
drug allergy,14LR.,H/O: pneumococcal vaccine allergy
drug allergy,14LS.,H/O: combined calcium and vitamin D3 preparation allergy
drug allergy,14LT.,H/O: bisphosphonate allergy
drug allergy,14LT0,H/O ibandronic acid allergy
drug allergy,14LT1,H/O zoledronc ac monohy allerg
drug allergy,14LT2,H/O disodium etidronate aller
drug allergy,14LT3,H/O alendronic acid allergy
drug allergy,14LT4,H/O risedronate sodium allergy
drug allergy,14LV.,H/O: selective oestrogen receptor modulator allergy
drug allergy,14LW.,H/O: strontium ranelate allergy
drug allergy,14LX.,H/O: dipyridamole allergy
drug allergy,14LY.,Phosphodiesteras-5 inhib aller
drug allergy,14LZ.,H/O: drug allergy NOS
drug allergy,1Z40.,Aliskiren allergy
drug allergy,1Z41.,Prasugrel allergy
drug allergy,1Z42.,Ticagrelor allergy
drug allergy,1Z43.,Anticoagulant allergy
drug allergy,1Z430,Rivaroxaban allergy
drug allergy,1Z431,Apixaban allergy
drug allergy,66G4.,Allergy drug side effect
drug allergy,9bJ4.,Transfer-degraded drug allergy
drug allergy,M130.,Ingestion dermatitis due to drugs
drug allergy,M1300,Generalized skin eruption due to drugs and medicaments
drug allergy,M1301,Localized skin eruption due to drugs and medicaments
drug allergy,M1302,Drug-induced erythroderma
drug allergy,SN501,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered
drug allergy,SN52.,Drug hypersensitivity NOS
drug allergy,TJ280,AR - carbimazole
drug allergy,X508N,Drug-induced urticaria
drug allergy,X50Ge,Drug eruption
drug allergy,X50Gm,Drug-induced erythroderma
drug allergy,X70vr,Drug-induced anaphylaxis
drug allergy,X70vs,Penicillin-induced anaphylaxis
drug allergy,X70w2,Drug-induced anaphylactoid reaction
drug allergy,X70w3,NSAID-induced anaphylactoid reaction
drug allergy,X70w4,Aspirin-induced anaphylactoid reaction
drug allergy,X70wE,Drug-aggravated angio-oedema-urticaria
drug allergy,X70wF,NSAID-induced angio-oedema-urticaria
drug allergy,X70wG,Aspirin-induced angio-oedema-urticaria
drug allergy,Xa0WK,Penicillin-induced angio-oedema-urticaria
drug allergy,Xa1pS,Allergic reaction to drug
drug allergy,Xa5dk,Allergy to over-the-counter drug
drug allergy,Xa5dl,Analgesics and non-steroidal anti-inflammatory drug allergy
drug allergy,Xa5dm,Analgesic allergy
drug allergy,Xa5dn,Non-opioid analgesic allergy
drug allergy,Xa5do,Paracetamol allergy
drug allergy,Xa5dp,Salicylate allergy
drug allergy,Xa5dq,Aspirin allergy
drug allergy,Xa5dr,Opioid analgesic allergy
drug allergy,Xa5ds,Pentazocine allergy
drug allergy,Xa5dt,Phenazocine allergy
drug allergy,Xa5du,Methadone analogue allergy
drug allergy,Xa5dv,Dextromoramide allergy
drug allergy,Xa5dw,Dextropropoxyphene allergy
drug allergy,Xa5dx,Dipipanone allergy
drug allergy,Xa5dy,Methadone allergy
drug allergy,Xa5dz,Morphinan opioid allergy
drug allergy,Xa5e0,Buprenorphine allergy
drug allergy,Xa5e1,Codeine allergy
drug allergy,Xa5e2,Diamorphine allergy
drug allergy,Xa5e3,Dihydrocodeine allergy
drug allergy,Xa5e4,Nalbuphine allergy
drug allergy,Xa5e5,Morphine allergy
drug allergy,Xa5e6,Opium alkaloid allergy
drug allergy,Xa5e7,Pethidine analogue allergy
drug allergy,Xa5e8,Alfentanil allergy
drug allergy,Xa5e9,Fentanyl allergy
drug allergy,Xa5ea,Tiaprofenic acid allergy
drug allergy,Xa5eA,Pethidine allergy
drug allergy,Xa5eb,Tolmetin allergy
drug allergy,Xa5eB,Phenoperidine allergy
drug allergy,Xa5ec,Diagnostic agent allergy
drug allergy,Xa5eC,Meptazinol allergy
drug allergy,Xa5ed,Tuberculin allergy
drug allergy,Xa5eD,Levorphanol allergy
drug allergy,Xa5ee,Radiopharmaceutical allergy
drug allergy,Xa5eE,Non-steroidal anti-inflammatory drug allergy
drug allergy,Xa5ef,Contrast media allergy
drug allergy,Xa5eF,Acemetacin allergy
drug allergy,Xa5eg,X-ray contrast media allergy
drug allergy,Xa5eG,Azapropazone allergy
drug allergy,Xa5eh,Magnetic resonance imaging contrast media allergy
drug allergy,Xa5eH,Diclofenac allergy
drug allergy,Xa5ei,Allergen extract vaccine allergy
drug allergy,Xa5eI,Etodolac allergy
drug allergy,Xa5ej,Diagnostic dye allergy
drug allergy,Xa5eJ,Felbinac allergy
drug allergy,Xa5ek,Drug groups primarily affecting gastrointestin syst allergy
drug allergy,Xa5eK,Fenbufen allergy
drug allergy,Xa5el,Ulcer healing drug allergy
drug allergy,Xa5eL,Fenoprofen allergy
drug allergy,Xa5em,Bismuth chelate allergy
drug allergy,Xa5eM,Flurbiprofen allergy
drug allergy,Xa5en,Sucralfate allergy
drug allergy,Xa5eN,Ibuprofen allergy
drug allergy,Xa5eo,Liquorice allergy
drug allergy,Xa5eO,Indometacin allergy
drug allergy,Xa5ep,Misoprostol allergy
drug allergy,Xa5eP,Ketoprofen allergy
drug allergy,Xa5eq,H2 receptor antagonist allergy
drug allergy,Xa5eQ,Ketorolac allergy
drug allergy,Xa5er,Cimetidine allergy
drug allergy,Xa5eR,Mefenamic acid allergy
drug allergy,Xa5es,Famotidine allergy
drug allergy,Xa5eS,Nabumetone allergy
drug allergy,Xa5et,Nizatidine allergy
drug allergy,Xa5eT,Naproxen allergy
drug allergy,Xa5eu,Ranitidine allergy
drug allergy,Xa5eU,Nefopam allergy
drug allergy,Xa5ev,Proton pump inhibitor allergy
drug allergy,Xa5eV,Oxyphenbutazone allergy
drug allergy,Xa5ew,Omeprazole allergy
drug allergy,Xa5eW,Phenylbutazone allergy
drug allergy,Xa5ex,Lansoprazole allergy
drug allergy,Xa5eX,Piroxicam allergy
drug allergy,Xa5ey,Carbenoxolone allergy
drug allergy,Xa5eY,Sulindac allergy
drug allergy,Xa5ez,Pirenzepine allergy
drug allergy,Xa5eZ,Tenoxicam allergy
drug allergy,Xa5f0,Pancreatin allergy
drug allergy,Xa5f1,5-aminosalicylic acid allergy
drug allergy,Xa5f2,Mesalazine allergy
drug allergy,Xa5f3,Olsalazine allergy
drug allergy,Xa5f4,Sulfasalazine allergy
drug allergy,Xa5f5,Antacid allergy
drug allergy,Xa5f6,Magnesium trisilicate allergy
drug allergy,Xa5f7,Aluminium hydroxide allergy
drug allergy,Xa5f8,Antidiarrhoeal drug allergy
drug allergy,Xa5f9,Loperamide allergy
drug allergy,Xa5fa,Pipenzolate allergy
drug allergy,Xa5fA,Kaolin allergy
drug allergy,Xa5fb,Poldine allergy
drug allergy,Xa5fB,Motility stimulant allergy
drug allergy,Xa5fc,Propantheline allergy
drug allergy,Xa5fC,Cisapride allergy
drug allergy,Xa5fd,Bile agent allergy
drug allergy,Xa5fD,Antiemetic allergy
drug allergy,Xa5fe,Chenodeoxycholic acid allergy
drug allergy,Xa5fE,Nabilone allergy
drug allergy,Xa5ff,Dehydrocholic acid allergy
drug allergy,Xa5fF,Domperidone allergy
drug allergy,Xa5fg,Ursodeoxycholic acid allergy
drug allergy,Xa5fG,Metoclopramide allergy
drug allergy,Xa5fh,Chenodeoxycholic and ursodeoxycholic acid allergy
drug allergy,Xa5fH,5-HT3-receptor antagonist allergy
drug allergy,Xa5fi,Anaesthetics and medical gases allergy
drug allergy,Xa5fI,Laxative allergy
drug allergy,Xa5fj,General anaesthetic drug allergy
drug allergy,Xa5fJ,Bisacodyl allergy
drug allergy,Xa5fk,Intravenous anaesthetics allergy
drug allergy,Xa5fK,Dantron allergy
drug allergy,Xa5fl,Etomidate allergy
drug allergy,Xa5fL,Sodium picosulfate allergy
drug allergy,Xa5fm,Ketamine allergy
drug allergy,Xa5fM,Lactulose allergy
drug allergy,Xa5fn,Propofol allergy
drug allergy,Xa5fN,Magnesium sulphate allergy
drug allergy,Xa5fo,Thiopental allergy
drug allergy,Xa5fO,Bulk-forming laxative allergy
drug allergy,Xa5fp,Methohexitone allergy
drug allergy,Xa5fP,Anthraquinone laxative allergy
drug allergy,Xa5fq,Inhalational anaesthetics allergy
drug allergy,Xa5fQ,Cascara allergy
drug allergy,Xa5fr,Enflurane allergy
drug allergy,Xa5fR,Senna allergy
drug allergy,Xa5fs,"Ether, anaesthetic allergy"
drug allergy,Xa5fS,Docusate allergy
drug allergy,Xa5ft,Halothane allergy
drug allergy,Xa5fT,Antispasmodic allergy
drug allergy,Xa5fu,Isoflurane allergy
drug allergy,Xa5fU,Hyoscine butylbromide allergy
drug allergy,Xa5fv,Trichloroethylene allergy
drug allergy,Xa5fV,Peppermint oil allergy
drug allergy,Xa5fw,Desflurane allergy
drug allergy,Xa5fW,Alverine allergy
drug allergy,Xa5fx,Local anaesthetic drug allergy
drug allergy,Xa5fX,Mebeverine allergy
drug allergy,Xa5fy,Bupivacaine allergy
drug allergy,Xa5fY,Dicycloverine allergy
drug allergy,Xa5fz,Cinchocaine allergy
drug allergy,Xa5fZ,Mepenzolate allergy
drug allergy,Xa5g0,Prilocaine allergy
drug allergy,Xa5g1,Lidocaine allergy
drug allergy,Xa5g2,Cocaine allergy
drug allergy,Xa5g3,Benzocaine allergy
drug allergy,Xa5g4,Tetracaine allergy
drug allergy,Xa5g5,Oxybuprocaine allergy
drug allergy,Xa5g6,Procaine allergy
drug allergy,Xa5g7,Proxymetacaine allergy
drug allergy,Xa5g8,Antineoplastic/immunosuppressant/immunostimulant allergy
drug allergy,Xa5g9,Immunostimulant allergy
drug allergy,Xa5ga,Cytotoxic antibiotic allergy
drug allergy,Xa5gA,Amifostine allergy
drug allergy,Xa5gb,Dactinomycin allergy
drug allergy,Xa5gB,Aldesleukin allergy
drug allergy,Xa5gc,Bleomycin allergy
drug allergy,Xa5gC,Colony stimulating factors allergy
drug allergy,Xa5gd,Mitomycin allergy
drug allergy,Xa5gD,Molgramostim allergy
drug allergy,Xa5ge,Plicamycin allergy
drug allergy,Xa5gE,Lenograstim allergy
drug allergy,Xa5gf,Aclarubicin allergy
drug allergy,Xa5gF,Filgrastim allergy
drug allergy,Xa5gg,Mitoxantrone allergy
drug allergy,Xa5gG,Levamisole allergy
drug allergy,Xa5gh,Doxorubicin allergy
drug allergy,Xa5gH,Antineoplastic allergy
drug allergy,Xa5gi,Epirubicin allergy
drug allergy,Xa5gI,Alkylating drug allergy
drug allergy,Xa5gj,Idarubicin allergy
drug allergy,Xa5gJ,Mitobronitol allergy
drug allergy,Xa5gk,Antimetabolite allergy
drug allergy,Xa5gK,Busulfan allergy
drug allergy,Xa5gl,Mercuric oxide allergy
drug allergy,Xa5gL,Treosulfan allergy
drug allergy,Xa5gm,Methotrexate allergy
drug allergy,Xa5gM,Thiotepa allergy
drug allergy,Xa5gn,Mercaptopurine allergy
drug allergy,Xa5gN,Nitrogen mustard derivative allergy
drug allergy,Xa5go,Tioguanine allergy
drug allergy,Xa5gO,Chlorambucil allergy
drug allergy,Xa5gp,Pentostatin allergy
drug allergy,Xa5gP,Cyclophosphamide allergy
drug allergy,Xa5gq,Cytarabine allergy
drug allergy,Xa5gQ,Ethoglucid allergy
drug allergy,Xa5gr,Fluorouracil allergy
drug allergy,Xa5gR,Ifosfamide allergy
drug allergy,Xa5gs,Etoposide allergy
drug allergy,Xa5gS,Melphalan allergy
drug allergy,Xa5gt,Amsacrine allergy
drug allergy,Xa5gT,Estramustine allergy
drug allergy,Xa5gu,Carboplatin allergy
drug allergy,Xa5gU,Chlormethine allergy
drug allergy,Xa5gv,Cisplatin allergy
drug allergy,Xa5gV,Nitrosurea allergy
drug allergy,Xa5gw,Hydroxycarbamide allergy
drug allergy,Xa5gW,Carmustine allergy
drug allergy,Xa5gx,Procarbazine allergy
drug allergy,Xa5gX,Lomustine allergy
drug allergy,Xa5gy,Razoxane allergy
drug allergy,Xa5gY,Triazene antineoplastic allergy
drug allergy,Xa5gz,Crisantaspase allergy
drug allergy,Xa5gZ,Dacarbazine allergy
drug allergy,Xa5h0,Paclitaxel allergy
drug allergy,Xa5h1,Fludarabine allergy
drug allergy,Xa5h2,Aminoglutethimide allergy
drug allergy,Xa5h3,Oestrogen antagonist allergy
drug allergy,Xa5h4,Trilostane allergy
drug allergy,Xa5h5,Tamoxifen allergy
drug allergy,Xa5h6,Formestane allergy
drug allergy,Xa5h7,Vinca alkaloid allergy
drug allergy,Xa5h8,Vinblastine allergy
drug allergy,Xa5h9,Vincristine allergy
drug allergy,Xa5ha,Butriptyline allergy
drug allergy,Xa5hA,Vindesine allergy
drug allergy,Xa5hb,Doxepin allergy
drug allergy,Xa5hB,Dimethyl sulfoxide allergy
drug allergy,Xa5hc,Iprindole allergy
drug allergy,Xa5hC,Immunosuppressant allergy
drug allergy,Xa5hd,Lofepramine allergy
drug allergy,Xa5hD,Ciclosporin allergy
drug allergy,Xa5he,Nortriptyline allergy
drug allergy,Xa5hE,Azathioprine allergy
drug allergy,Xa5hf,Trimipramine allergy
drug allergy,Xa5hF,Drug groups primarily affect central nervous system allergy
drug allergy,Xa5hg,Amoxapine allergy
drug allergy,Xa5hG,Centrally acting appetite suppressant allergy
drug allergy,Xa5hh,Amitriptyline allergy
drug allergy,Xa5hH,Mazindol allergy
drug allergy,Xa5hi,Clomipramine allergy
drug allergy,Xa5hI,Phentermine allergy
drug allergy,Xa5hj,Desipramine allergy
drug allergy,Xa5hJ,Dexfenfluramine allergy
drug allergy,Xa5hk,Dosulepin allergy
drug allergy,Xa5hK,Diethylpropion allergy
drug allergy,Xa5hl,Imipramine allergy
drug allergy,Xa5hL,Fenfluramine allergy
drug allergy,Xa5hm,Protriptyline allergy
drug allergy,Xa5hM,Dopaminergic drug used in parkinsonism allergy
drug allergy,Xa5hn,Monoamine oxidase inhibitor allergy
drug allergy,Xa5hN,Levodopa allergy
drug allergy,Xa5ho,Phenelzine allergy
drug allergy,Xa5hO,Co-beneldopa allergy
drug allergy,Xa5hp,Iproniazid allergy
drug allergy,Xa5hP,Co-careldopa allergy
drug allergy,Xa5hq,Isocarboxazid allergy
drug allergy,Xa5hQ,Amantadine allergy
drug allergy,Xa5hr,Tranylcypromine allergy
drug allergy,Xa5hR,Apomorphine allergy
drug allergy,Xa5hs,Moclobemide allergy
drug allergy,Xa5hS,Lisuride allergy
drug allergy,Xa5ht,Compound antidepressants allergy
drug allergy,Xa5hT,Pergolide allergy
drug allergy,Xa5hu,Tryptophan allergy
drug allergy,Xa5hU,Bromocriptine allergy
drug allergy,Xa5hv,Venlafaxine allergy
drug allergy,Xa5hV,Antidepressant drug allergy
drug allergy,Xa5hw,Selective serotonin re-uptake inhibitor allergy
drug allergy,Xa5hW,Lithium allergy
drug allergy,Xa5hx,Sertraline allergy
drug allergy,Xa5hX,Lithium carbonate allergy
drug allergy,Xa5hy,Paroxetine allergy
drug allergy,Xa5hY,Lithium citrate allergy
drug allergy,Xa5hz,Nefazodone allergy
drug allergy,Xa5hZ,Tricyclic antidepressant drug allergy
drug allergy,Xa5i0,Citalopram allergy
drug allergy,Xa5i1,Fluoxetine allergy
drug allergy,Xa5i2,Fluvoxamine allergy
drug allergy,Xa5i3,Tetracyclic antidepressant drug allergy
drug allergy,Xa5i4,Maprotiline allergy
drug allergy,Xa5i5,Mianserin allergy
drug allergy,Xa5i6,Trazodone allergy
drug allergy,Xa5i7,Viloxazine allergy
drug allergy,Xa5i8,Antiepileptic allergy
drug allergy,Xa5i9,Beclamide allergy
drug allergy,Xa5ia,Benzodiazepine sedative allergy
drug allergy,Xa5iA,Lamotrigine allergy
drug allergy,Xa5ib,Flunitrazepam allergy
drug allergy,Xa5iB,Piracetam allergy
drug allergy,Xa5ic,Flurazepam allergy
drug allergy,Xa5iC,Gabapentin allergy
drug allergy,Xa5id,Loprazolam allergy
drug allergy,Xa5iD,Sodium valproate allergy
drug allergy,Xa5ie,Lormetazepam allergy
drug allergy,Xa5iE,Barbiturate antiepileptic allergy
drug allergy,Xa5if,Nitrazepam allergy
drug allergy,Xa5iF,Methylphenobarbital allergy
drug allergy,Xa5ig,Triazolam allergy
drug allergy,Xa5iG,Phenobarbital allergy
drug allergy,Xa5ih,Alprazolam allergy
drug allergy,Xa5iH,Primidone allergy
drug allergy,Xa5ii,Bromazepam allergy
drug allergy,Xa5iI,Carbamazepine allergy
drug allergy,Xa5ij,Chlordiazepoxide allergy
drug allergy,Xa5iJ,Vigabatrin allergy
drug allergy,Xa5ik,Clobazam allergy
drug allergy,Xa5iK,Phenytoin allergy
drug allergy,Xa5il,Dipotassium clorazepate allergy
drug allergy,Xa5iL,Ethosuximide allergy
drug allergy,Xa5im,Ketazolam allergy
drug allergy,Xa5iM,Clonazepam allergy
drug allergy,Xa5in,Medazepam allergy
drug allergy,Xa5iN,Sedative/neuroleptic allergy
drug allergy,Xa5io,Oxazepam allergy
drug allergy,Xa5iO,Sedative allergy
drug allergy,Xa5ip,Prazepam allergy
drug allergy,Xa5iP,Zopiclone allergy
drug allergy,Xa5iq,Midazolam allergy
drug allergy,Xa5iQ,Zolpidem allergy
drug allergy,Xa5ir,Diazepam allergy
drug allergy,Xa5iR,Chlormezanone allergy
drug allergy,Xa5is,Lorazepam allergy
drug allergy,Xa5iS,Methyprylone allergy
drug allergy,Xa5it,Temazepam allergy
drug allergy,Xa5iT,Paraldehyde allergy
drug allergy,Xa5iu,Carbamate sedative allergy
drug allergy,Xa5iU,Barbiturate sedative allergy
drug allergy,Xa5iv,Meprobamate allergy
drug allergy,Xa5iV,Amobarbital allergy
drug allergy,Xa5iw,Chloral sedative allergy
drug allergy,Xa5iW,Butobarbital allergy
drug allergy,Xa5ix,Chloral hydrate allergy
drug allergy,Xa5iX,Cyclobarbitone allergy
drug allergy,Xa5iy,Dichloralphenazone allergy
drug allergy,Xa5iY,Amobarbital sodium allergy
drug allergy,Xa5iz,Triclofos sodium allergy
drug allergy,Xa5iZ,Secobarbital allergy
drug allergy,Xa5j0,Buspirone allergy
drug allergy,Xa5j1,Clomethiazole allergy
drug allergy,Xa5j2,Neuroleptic allergy
drug allergy,Xa5j3,Sulpiride allergy
drug allergy,Xa5j4,Loxapine allergy
drug allergy,Xa5j5,Clozapine allergy
drug allergy,Xa5j6,Risperidone allergy
drug allergy,Xa5j7,Tetrabenazine allergy
drug allergy,Xa5j8,Butyrophenone allergy
drug allergy,Xa5j9,Benperidol allergy
