Disease,Read code,Term,weight
cancer,B023.,"Malignant neoplasm, overlapping lesion of major saliv gland",2
cancer,B02y.,Malignant neoplasm of other major salivary glands,2
cancer,B02z.,Malignant neoplasm of major salivary gland NOS,2
cancer,B03..,Malignant neoplasm of gum,2
cancer,B030.,Malignant neoplasm of upper gum,2
cancer,B031.,Malignant neoplasm of lower gum,2
cancer,B03y.,Malignant neoplasm of other sites of gum,2
cancer,B03z.,Malignant neoplasm of gum NOS,2
cancer,B04..,Malignant neoplasm of floor of mouth,2
cancer,B040.,Malignant neoplasm of anterior portion of floor of mouth,2
cancer,B041.,Malignant neoplasm of lateral portion of floor of mouth,2
cancer,B042.,"Malignant neoplasm, overlapping lesion of floor of mouth",2
cancer,B04y.,Malignant neoplasm of other sites of floor of mouth,2
cancer,B04z.,Malignant neoplasm of floor of mouth NOS,2
cancer,B05..,Malignant neoplasm of other and unspecified parts of mouth,2
cancer,B050.,Malignant neoplasm of buccal mucosa,2
cancer,B051.,Malignant neoplasm of vestibule of mouth,2
cancer,B0510,Malignant neoplasm of upper buccal sulcus,2
cancer,B0511,Malignant neoplasm of lower buccal sulcus,2
cancer,B0512,Malignant neoplasm of upper labial sulcus,2
cancer,B0513,Malignant neoplasm of lower labial sulcus,2
cancer,B051z,Malignant neoplasm of vestibule of mouth NOS,2
cancer,B052.,Malignant neoplasm of hard palate,2
cancer,B053.,Malignant neoplasm of soft palate,2
cancer,B054.,Malignant neoplasm of uvula,2
cancer,B055.,Malignant neoplasm of palate unspecified,2
cancer,B0550,Malignant neoplasm of junction of hard and soft palate,2
cancer,B0551,Malignant neoplasm of roof of mouth,2
cancer,B055z,Malignant neoplasm of palate NOS,2
cancer,B056.,Malignant neoplasm of retromolar area,2
cancer,B057.,Overlapping lesion of other and unspecified parts of mouth,2
cancer,B05y.,Malignant neoplasm of other specified mouth parts,2
cancer,B05z.,Malignant neoplasm of mouth NOS,2
cancer,B05z0,Kaposi's sarcoma of palate,2
cancer,B06..,Malignant neoplasm of oropharynx,2
cancer,B060.,Malignant neoplasm of tonsil,2
cancer,B0600,Malignant neoplasm of faucial tonsil,2
cancer,B0601,Malignant neoplasm of palatine tonsil,2
cancer,B0602,Malignant neoplasm of overlapping lesion of tonsil,2
cancer,B060z,Malignant neoplasm tonsil NOS,2
cancer,B061.,Malignant neoplasm of tonsillar fossa,2
cancer,B062.,Malignant neoplasm of faucial pillar,2
cancer,B062.,Malignant neoplasm of palatopharyngeal arch,2
cancer,B062.,Malignant neoplasm of tonsillar pillar,2
cancer,B0620,Malignant neoplasm of faucial pillar,2
cancer,B0621,Malignant neoplasm of glossopalatine fold,2
cancer,B0622,Malignant neoplasm of palatoglossal arch,2
cancer,B0623,Malignant neoplasm of palatopharyngeal arch,2
cancer,B062z,Malignant neoplasm of tonsillar fossa NOS,2
cancer,B063.,Malignant neoplasm of vallecula,2
cancer,B064.,Malignant neoplasm of anterior epiglottis,2
cancer,B0640,"Malignant neoplasm of epiglottis, free border",2
cancer,B0641,Malignant neoplasm of glossoepiglottic fold,2
cancer,B064z,Malignant neoplasm of anterior epiglottis NOS,2
cancer,B065.,Malignant neoplasm of junctional region of epiglottis,2
cancer,B066.,Malignant neoplasm of lateral wall of oropharynx,2
cancer,B067.,Malignant neoplasm of posterior wall of oropharynx,2
cancer,B06y.,"Malignant neoplasm of oropharynx, other specified sites",2
cancer,B06y0,Malignant neoplasm of branchial cleft,2
cancer,B06yz,Malignant neoplasm of other specified site of oropharynx NOS,2
cancer,B06z.,Malignant neoplasm of oropharynx NOS,2
cancer,B07..,Malignant neoplasm of nasopharynx,2
cancer,B070.,Malignant neoplasm of roof of nasopharynx,2
cancer,B071.,Malignant neoplasm of posterior wall of nasopharynx,2
cancer,B0710,Malignant neoplasm of adenoid,2
cancer,B0710,Malignant neoplasm of pharyngeal tonsil,2
cancer,B0711,Malignant neoplasm of pharyngeal tonsil,2
cancer,B071z,Malignant neoplasm of posterior wall of nasopharynx NOS,2
cancer,B072.,Malignant neoplasm of lateral wall of nasopharynx,2
cancer,B0720,Malignant neoplasm of pharyngeal recess,2
cancer,B0721,Malignant neoplasm of opening of auditory tube,2
cancer,B072z,Malignant neoplasm of lateral wall of nasopharynx NOS,2
cancer,B073.,Malignant neoplasm of anterior wall of nasopharynx,2
cancer,B0730,Malignant neoplasm of floor of nasopharynx,2
cancer,B0731,Malignant neoplasm of nasopharyngeal soft palate surface,2
cancer,B0732,Malignant neoplasm posterior margin nasal septum and choanae,2
cancer,B073z,Malignant neoplasm of anterior wall of nasopharynx NOS,2
cancer,B074.,"Malignant neoplasm, overlapping lesion of nasopharynx",2
cancer,B07y.,Malignant neoplasm of other specified site of nasopharynx,2
cancer,B07z.,Malignant neoplasm of nasopharynx NOS,2
cancer,B08..,Malignant neoplasm of hypopharynx,2
cancer,B08..,Malignant neoplasm of laryngopharynx,2
cancer,B080.,Malignant neoplasm of postcricoid region,2
cancer,B081.,Malignant neoplasm of pyriform sinus,2
cancer,B082.,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect",2
cancer,B083.,Malignant neoplasm of posterior pharynx,2
cancer,B084.,"Malignant neoplasm, overlapping lesion of hypopharynx",2
cancer,B08y.,Malignant neoplasm of other specified hypopharyngeal site,2
cancer,B08z.,Malignant neoplasm of hypopharynx NOS,2
cancer,B0z..,"Malig neop other/ill-defined sites lip, oral cavity, pharynx",2
cancer,B0z0.,Malignant neoplasm of pharynx unspecified,2
cancer,B0z1.,Malignant neoplasm of Waldeyer's ring,2
cancer,B0z2.,Malignant neoplasm of laryngopharynx,2
cancer,B0zy.,"Malignant neoplasm of other sites lip, oral cavity, pharynx",2
cancer,B0zz.,"Malignant neoplasm of lip, oral cavity and pharynx NOS",2
cancer,B1...,Carcinoma of digestive organs and peritoneum,2
cancer,B10..,Malignant neoplasm of oesophagus,2
cancer,B10..,Malignant neoplasm of oesophagus NOS,2
cancer,B100.,Malignant neoplasm of cervical oesophagus,2
cancer,B101.,Malignant neoplasm of thoracic oesophagus,2
cancer,B102.,Malignant neoplasm of abdominal oesophagus,2
cancer,B103.,Malignant neoplasm of upper third of oesophagus,2
cancer,B104.,Malignant neoplasm of middle third of oesophagus,2
cancer,B105.,Malignant neoplasm of lower third of oesophagus,2
cancer,B106.,"Malignant neoplasm, overlapping lesion of oesophagus",2
cancer,B10y.,Malignant neoplasm of other specified part of oesophagus,2
cancer,B10z.,Malignant neoplasm of oesophagus NOS,2
cancer,B11..,Malignant neoplasm of stomach,2
cancer,B110.,Malignant neoplasm of cardia of stomach,2
cancer,B1100,Malignant neoplasm of cardiac orifice of stomach,2
cancer,B1101,Malignant neoplasm of cardio-oesophageal junction of stomach,2
cancer,B110z,Malignant neoplasm of cardia of stomach NOS,2
cancer,B111.,Malignant neoplasm of pylorus of stomach,2
cancer,B1110,Malignant neoplasm of prepylorus of stomach,2
cancer,B1111,Malignant neoplasm of pyloric canal of stomach,2
cancer,B111z,Malignant neoplasm of pylorus of stomach NOS,2
cancer,B112.,Malignant neoplasm of pyloric antrum of stomach,2
cancer,B113.,Malignant neoplasm of fundus of stomach,2
cancer,B114.,Malignant neoplasm of body of stomach,2
cancer,B115.,Malignant neoplasm of lesser curve of stomach unspecified,2
cancer,B116.,Malignant neoplasm of greater curve of stomach unspecified,2
cancer,B117.,"Malignant neoplasm, overlapping lesion of stomach",2
cancer,B11y.,Malignant neoplasm of other specified site of stomach,2
cancer,B11y0,Malignant neoplasm of anterior wall of stomach NEC,2
cancer,B11y1,Malignant neoplasm of posterior wall of stomach NEC,2
cancer,B11yz,Malignant neoplasm of other specified site of stomach NOS,2
cancer,B11z.,Malignant neoplasm of stomach NOS,2
cancer,B12..,Malignant neoplasm of small intestine and duodenum,2
cancer,B120.,Malignant neoplasm of duodenum,2
cancer,B121.,Malignant neoplasm of jejunum,2
cancer,B122.,Malignant neoplasm of ileum,2
cancer,B123.,Malignant neoplasm of Meckel's diverticulum,2
cancer,B124.,"Malignant neoplasm, overlapping lesion of small intestine",2
cancer,B12y.,Malignant neoplasm of other specified site small intestine,2
cancer,B12z.,Malignant neoplasm of small intestine NOS,2
cancer,B13..,Malignant neoplasm of colon,2
cancer,B13..,Malignant neoplasm of colon NOS,2
cancer,B130.,Malignant neoplasm of hepatic flexure of colon,2
cancer,B131.,Malignant neoplasm of transverse colon,2
cancer,B132.,Malignant neoplasm of descending colon,2
cancer,B133.,Malignant neoplasm of sigmoid colon,2
cancer,B134.,Carcinoma of caecum,2
cancer,B135.,Malignant neoplasm of appendix,2
cancer,B136.,Malignant neoplasm of ascending colon,2
cancer,B137.,Malignant neoplasm of splenic flexure of colon,2
cancer,B138.,"Malignant neoplasm, overlapping lesion of colon",2
cancer,B13y.,Malignant neoplasm of other specified sites of colon,2
cancer,B13z.,Malignant neoplasm of colon NOS,2
cancer,B14..,"Malignant neoplasm of rectum, rectosigmoid junction and anus",2
cancer,B140.,Malignant neoplasm of rectosigmoid junction,2
cancer,B141.,Rectal carcinoma,2
cancer,B142.,Anal carcinoma,2
cancer,B1420,Malignant neoplasm of cloacogenic zone,2
cancer,B143.,Malignant neoplasm of anus unspecified,2
cancer,B14y.,"Malig neop other site rectum, rectosigmoid junction and anus",2
cancer,B14z.,"Malignant neoplasm rectum,rectosigmoid junction and anus NOS",2
cancer,B15..,Malignant neoplasm of liver and intrahepatic bile ducts,2
cancer,B150.,Primary malignant neoplasm of liver,2
cancer,B1500,Primary carcinoma of liver,2
cancer,B1501,Hepatoblastoma of liver,2
cancer,B1502,Primary angiosarcoma of liver,2
cancer,B1503,Hepatocellular carcinoma,2
cancer,B150z,Primary malignant neoplasm of liver NOS,2
cancer,B151.,Malignant neoplasm of intrahepatic bile ducts,2
cancer,B1510,Malignant neoplasm of interlobular bile ducts,2
cancer,B1511,Malignant neoplasm of interlobular biliary canals,2
cancer,B1512,Malignant neoplasm of intrahepatic biliary passages,2
cancer,B1513,Malignant neoplasm of intrahepatic canaliculi,2
cancer,B1514,Malignant neoplasm of intrahepatic gall duct,2
cancer,B151z,Malignant neoplasm of intrahepatic bile ducts NOS,2
cancer,B152.,Malignant neoplasm of liver unspecified,2
cancer,B15z.,Malignant neoplasm of liver and intrahepatic bile ducts NOS,2
cancer,B16..,Malignant neoplasm gallbladder and extrahepatic bile ducts,2
cancer,B160.,Carcinoma gallbladder,2
cancer,B161.,Malignant neoplasm of extrahepatic bile ducts,2
cancer,B1610,Malignant neoplasm of cystic duct,2
cancer,B1611,Malignant neoplasm of hepatic duct,2
cancer,B1612,Malignant neoplasm of common bile duct,2
cancer,B1613,Malignant neoplasm of sphincter of Oddi,2
cancer,B161z,Malignant neoplasm of extrahepatic bile ducts NOS,2
cancer,B162.,Malignant neoplasm of ampulla of Vater,2
cancer,B163.,"Malignant neoplasm, overlapping lesion of biliary tract",2
cancer,B16y.,Malignant neoplasm other gallbladder/extrahepatic bile duct,2
cancer,B16z.,Malignant neoplasm gallbladder/extrahepatic bile ducts NOS,2
cancer,B17..,Malignant neoplasm of pancreas,2
cancer,B170.,Malignant neoplasm of head of pancreas,2
cancer,B171.,Malignant neoplasm of body of pancreas,2
cancer,B172.,Malignant neoplasm of tail of pancreas,2
cancer,B173.,Malignant neoplasm of pancreatic duct,2
cancer,B174.,Malignant neoplasm of Islets of Langerhans,2
cancer,B175.,"Malignant neoplasm, overlapping lesion of pancreas",2
cancer,B17y.,Malignant neoplasm of other specified sites of pancreas,2
cancer,B17y0,Malignant neoplasm of ectopic pancreatic tissue,2
cancer,B17yz,Malignant neoplasm of specified site of pancreas NOS,2
cancer,B17z.,Malignant neoplasm of pancreas NOS,2
cancer,B18..,Malignant neoplasm of retroperitoneum and peritoneum,2
cancer,B180.,Malignant neoplasm of retroperitoneum,2
cancer,B1800,Malignant neoplasm of periadrenal tissue,2
cancer,B1801,Malignant neoplasm of perinephric tissue,2
cancer,B1802,Malignant neoplasm of retrocaecal tissue,2
cancer,B180z,Malignant neoplasm of retroperitoneum NOS,2
cancer,B181.,Mesothelioma of peritoneum,2
cancer,B182.,Overlapping malign lesion of retroperitoneum and peritoneum,2
cancer,B18y.,Malignant neoplasm of specified parts of peritoneum,2
cancer,B18y0,Malignant neoplasm of mesocolon,2
cancer,B18y1,Malignant neoplasm of mesocaecum,2
cancer,B18y2,Malignant neoplasm of mesorectum,2
cancer,B18y3,Malignant neoplasm of omentum,2
cancer,B18y4,Malignant neoplasm of parietal peritoneum,2
cancer,B18y5,Malignant neoplasm of pelvic peritoneum,2
cancer,B18y6,Malignant neoplasm of the pouch of Douglas,2
cancer,B18y7,Malignant neoplasm of mesentery,2
cancer,B18yz,Malignant neoplasm of specified parts of peritoneum NOS,2
cancer,B18z.,Malignant neoplasm of retroperitoneum and peritoneum NOS,2
cancer,B1z..,Malig neop oth/ill-defined sites digestive tract/peritoneum,2
cancer,B1z0.,"Malignant neoplasm of intestinal tract, part unspecified",2
cancer,B1z1.,Malignant neoplasm of spleen NEC,2
cancer,B1z10,Angiosarcoma of spleen,2
cancer,B1z11,Fibrosarcoma of spleen,2
cancer,B1z1z,Malignant neoplasm of spleen NOS,2
cancer,B1z2.,"Malignant neoplasm, overlapping lesion of digestive system",2
cancer,B1zy.,Malignant neoplasm other spec digestive tract and peritoneum,2
cancer,B1zz.,Malignant neoplasm of digestive tract and peritoneum NOS,2
cancer,B2...,Carcinoma of respiratory tract and intrathoracic organs,2
cancer,B20..,"Malig neop nasal cavities, middle ear and accessory sinuses",2
cancer,B200.,Malignant neoplasm of nasal cavities,2
cancer,B2000,Malignant neoplasm of cartilage of nose,2
cancer,B2001,Malignant neoplasm of nasal conchae,2
cancer,B2002,Malignant neoplasm of septum of nose,2
cancer,B2003,Malignant neoplasm of vestibule of nose,2
cancer,B200z,Malignant neoplasm of nasal cavities NOS,2
cancer,B201.,"Malig neop auditory tube, middle ear and mastoid air cells",2
cancer,B2010,Malignant neoplasm of auditory (Eustachian) tube,2
cancer,B2011,Malignant neoplasm of tympanic cavity,2
cancer,B2012,Malignant neoplasm of tympanic antrum,2
cancer,B2013,Malignant neoplasm of mastoid air cells,2
cancer,B201z,"Malig neop auditory tube, middle ear, mastoid air cells NOS",2
cancer,B202.,Malignant neoplasm of maxillary sinus,2
cancer,B203.,Malignant neoplasm of ethmoid sinus,2
cancer,B204.,Malignant neoplasm of frontal sinus,2
cancer,B205.,Malignant neoplasm of sphenoidal sinus,2
cancer,B206.,"Malignant neoplasm, overlapping lesion of accessory sinuses",2
cancer,B20y.,"Malig neop other site nasal cavity, middle ear and sinuses",2
cancer,B20z.,Malignant neoplasm of accessory sinus NOS,2
cancer,B21..,Malignant neoplasm of larynx,2
cancer,B210.,Malignant neoplasm of glottis,2
cancer,B211.,Malignant neoplasm of supraglottis,2
cancer,B212.,Malignant neoplasm of subglottis,2
cancer,B213.,Malignant neoplasm of laryngeal cartilage,2
cancer,B2130,Malignant neoplasm of arytenoid cartilage,2
cancer,B2131,Malignant neoplasm of cricoid cartilage,2
cancer,B2132,Malignant neoplasm of cuneiform cartilage,2
cancer,B2133,Malignant neoplasm of thyroid cartilage,2
cancer,B213z,Malignant neoplasm of laryngeal cartilage NOS,2
cancer,B214.,"Malignant neoplasm, overlapping lesion of larynx",2
cancer,B215.,Malignant neoplasm of epiglottis NOS,2
cancer,B21y.,"Malignant neoplasm of larynx, other specified site",2
cancer,B21z.,Malignant neoplasm of larynx NOS,2
cancer,B22..,"Malignant neoplasm of trachea, bronchus and lung",2
cancer,B220.,Malignant neoplasm of trachea,2
cancer,B2200,Malignant neoplasm of cartilage of trachea,2
cancer,B2201,Malignant neoplasm of mucosa of trachea,2
cancer,B220z,Malignant neoplasm of trachea NOS,2
cancer,B221.,Malignant neoplasm of main bronchus,2
cancer,B2210,Malignant neoplasm of carina of bronchus,2
cancer,B2211,Malignant neoplasm of hilus of lung,2
cancer,B221z,Malignant neoplasm of main bronchus NOS,2
cancer,B222.,"Malignant neoplasm of upper lobe, bronchus or lung",2
cancer,B2220,Malignant neoplasm of upper lobe bronchus,2
cancer,B2221,Malignant neoplasm of upper lobe of lung,2
cancer,B222z,"Malignant neoplasm of upper lobe, bronchus or lung NOS",2
cancer,B223.,"Malignant neoplasm of middle lobe, bronchus or lung",2
cancer,B2230,Malignant neoplasm of middle lobe bronchus,2
cancer,B2231,Malignant neoplasm of middle lobe of lung,2
cancer,B223z,"Malignant neoplasm of middle lobe, bronchus or lung NOS",2
cancer,B224.,"Malignant neoplasm of lower lobe, bronchus or lung",2
cancer,B2240,Malignant neoplasm of lower lobe bronchus,2
cancer,B2241,Malignant neoplasm of lower lobe of lung,2
cancer,B224z,"Malignant neoplasm of lower lobe, bronchus or lung NOS",2
cancer,B225.,Malignant neoplasm of overlapping lesion of bronchus & lung,2
cancer,B226.,Mesothelioma,2
cancer,B22y.,Malignant neoplasm of other sites of bronchus or lung,2
cancer,B22z.,Lung cancer,2
cancer,B23..,Malignant neoplasm of pleura,2
cancer,B230.,Malignant neoplasm of parietal pleura,2
cancer,B231.,Malignant neoplasm of visceral pleura,2
cancer,B232.,Mesothelioma of pleura,2
cancer,B23y.,Malignant neoplasm of other specified pleura,2
cancer,B23z.,Malignant neoplasm of pleura NOS,2
cancer,B24..,"Malignant neoplasm of thymus, heart and mediastinum",2
cancer,B240.,Malignant neoplasm of thymus,2
cancer,B241.,Malignant neoplasm of heart,2
cancer,B2410,Malignant neoplasm of endocardium,2
cancer,B2411,Malignant neoplasm of epicardium,2
cancer,B2412,Malignant neoplasm of myocardium,2
cancer,B2413,Malignant neoplasm of pericardium,2
cancer,B2414,Mesothelioma of pericardium,2
cancer,B241z,Malignant neoplasm of heart NOS,2
cancer,B242.,Malignant neoplasm of anterior mediastinum,2
cancer,B243.,Malignant neoplasm of posterior mediastinum,2
cancer,B24X.,"Malignant neoplasm of mediastinum, part unspecified",2
cancer,B24y.,"Malig neop of other site of heart, thymus and mediastinum",2
cancer,B24z.,"Malignant neoplasm of heart, thymus and mediastinum NOS",2
cancer,B25..,"[X]Malignant neoplasm/overlap lesion/heart,mediastinm",2
cancer,B25..,"Malig neo, overlapping lesion of heart, mediastinum & pleura",2
cancer,B26..,[X]Malignant neopl/overlapping les/resp organs,2
cancer,B26..,"Malignant neoplasm, overlap lesion of resp & intrathor orgs",2
cancer,B2z..,Malig neop other/ill-defined sites resp/intrathoracic organs,2
cancer,B2z0.,"[X]Malignant neoplasm/upper resp tract, part unspecified",2
cancer,B2z0.,"Malig neop of upper respiratory tract, part unspecified",2
cancer,B2zy.,Malignant neoplasm of other site of respiratory tract,2
cancer,B2zz.,Malignant neoplasm of respiratory tract NOS,2
cancer,B3...,"Carcinoma of bone, connective tissue, skin and breast",2
cancer,B30..,Chondroma,2
cancer,B300.,Malignant neoplasm of bones of skull and face,2
cancer,B3000,Malignant neoplasm of ethmoid bone,2
cancer,B3001,Malignant neoplasm of frontal bone,2
cancer,B3002,Malignant neoplasm of malar bone,2
cancer,B3003,Malignant neoplasm of nasal bone,2
cancer,B3004,Malignant neoplasm of occipital bone,2
cancer,B3005,Malignant neoplasm of orbital bone,2
cancer,B3006,Malignant neoplasm of parietal bone,2
cancer,B3007,Malignant neoplasm of sphenoid bone,2
cancer,B3008,Malignant neoplasm of temporal bone,2
cancer,B3009,Malignant neoplasm of zygomatic bone,2
cancer,B300A,Malignant neoplasm of maxilla,2
cancer,B300C,Malignant neoplasm of vomer,2
cancer,B300z,Malignant neoplasm of bones of skull and face NOS,2
cancer,B301.,Malignant neoplasm of mandible,2
cancer,B302.,Malignant neoplasm of vertebral column,2
cancer,B3020,Malignant neoplasm of cervical vertebra,2
cancer,B3021,Malignant neoplasm of thoracic vertebra,2
cancer,B3022,Malignant neoplasm of lumbar vertebra,2
cancer,B302z,Malignant neoplasm of vertebral column NOS,2
cancer,B303.,"Malignant neoplasm of ribs, sternum and clavicle",2
cancer,B3030,Malignant neoplasm of rib,2
cancer,B3031,Malignant neoplasm of sternum,2
cancer,B3032,Malignant neoplasm of clavicle,2
cancer,B3033,Malignant neoplasm of costal cartilage,2
cancer,B3034,Malignant neoplasm of costo-vertebral joint,2
cancer,B3035,Malignant neoplasm of xiphoid process,2
cancer,B303z,"Malignant neoplasm of rib, sternum and clavicle NOS",2
cancer,B304.,Malignant neoplasm of scapula and long bones of upper arm,2
cancer,B3040,Malignant neoplasm of scapula,2
cancer,B3041,Malignant neoplasm of acromion,2
cancer,B3042,Malignant neoplasm of humerus,2
cancer,B3043,Malignant neoplasm of radius,2
cancer,B3044,Malignant neoplasm of ulna,2
cancer,B304z,Malig neop of scapula and long bones of upper arm NOS,2
