Allergy prescription,Read code,Term
eczema preparations,m461.,modrasone 0.05% cream 15g
eczema preparations,m462.,modrasone 0.05% cream 50g
eczema preparations,m463.,modrasone 0.05% ointment 15g
eczema preparations,m464.,modrasone 0.05% ointment 50g
eczema preparations,m471.,propaderm 0.025% cream 15g
eczema preparations,m472.,propaderm 0.025% cream 50g
eczema preparations,m473.,propaderm 0.025% ointment 15g
eczema preparations,m474.,propaderm 0.025% ointment 50g
eczema preparations,m479.,propaderm 0.025% cream 30g
eczema preparations,m47a.,propaderm 0.025% ointment 30g
eczema preparations,m47y.,beclometasone dipropionate 0.025% cream
eczema preparations,m47z.,beclometasone dipropionate 0.025% ointment
eczema preparations,m481.,betnovate 0.1% cream 15g
eczema preparations,m482.,betnovate 0.1% cream 30g
eczema preparations,m483.,betnovate 0.1% cream 100g
eczema preparations,m484.,betnovate 0.1% ointment 15g
eczema preparations,m485.,betnovate 0.1% ointment 30g
eczema preparations,m486.,betnovate 0.1% ointment 100g
eczema preparations,m487.,betnovate 0.1% lotion 100ml
eczema preparations,m488.,betnovate 0.1% scalp application 30ml
eczema preparations,m489.,betnovate 0.1% scalp application 100ml
eczema preparations,m48a.,betnovate rd 0.025% cream 100g
eczema preparations,m48A.,betacapscalp application
eczema preparations,m48b.,betnovate rd 0.025% ointment 100g
eczema preparations,m48B.,betamethasone valerate 0.12% foam
eczema preparations,m48c.,diprosalic 0.05% ointment 30g
eczema preparations,m48C.,bettamousse 0.12% foam 100g
eczema preparations,m48d.,diprosalic 0.05% ointment 100g
eczema preparations,m48D.,betesil2.25mg medicated plasters
eczema preparations,m48e.,diprosalic 0.05% scalp application 30ml
eczema preparations,m48E.,betamethasonevalerate 2.25mg medicated plasters
eczema preparations,m48f.,diprosalic 0.05% scalp application 100ml
eczema preparations,m48g.,diprosone 0.05% cream 30g
eczema preparations,m48h.,diprosone 0.05% cream 100g
eczema preparations,m48i.,diprosone 0.05% ointment 30g
eczema preparations,m48j.,diprosone 0.05% ointment 100g
eczema preparations,m48k.,diprosone 0.05% lotion 30ml
eczema preparations,m48l.,diprosone 0.05% lotion 100ml
eczema preparations,m48p.,betnovate 0.1% cream pump dispenser 100g
eczema preparations,m48t.,betnovate 0.1% ointment pump dispenser 100g
eczema preparations,m491.,betnovate c 0.1% cream 15g
eczema preparations,m492.,betnovate-c 0.1% cream 30g
eczema preparations,m493.,betnovate c 0.1% ointment 15g
eczema preparations,m494.,betnovate-c 0.1% ointment 30g
eczema preparations,m495.,betnovate n 0.1% cream 15g
eczema preparations,m496.,betnovate-n 0.1% cream 30g
eczema preparations,m497.,betnovate-n 0.1% cream 100g
eczema preparations,m498.,betnovate n 0.1% ointment 15g
eczema preparations,m499.,betnovate-n 0.1% ointment 30g
eczema preparations,m49a.,betnovate-n 0.1% ointment 100g
eczema preparations,m49b.,betnovate n 0.1% lotion
eczema preparations,m49b.,betnovaten 0.1% lotion
eczema preparations,m49c.,fucibet cream 15g
eczema preparations,m49d.,fucibet cream 30g
eczema preparations,m49e.,fucibet cream 60g
eczema preparations,m49f.,fucibetlipid cream 30g
eczema preparations,m49r.,betamethasoneneomycin 0.1%/0.5% ointment
eczema preparations,m49s.,betamethasoneneomycin 0.1%/0.5% cream
eczema preparations,m49t.,betamethasoneclioquinol 0.1%/3% cream
eczema preparations,m49u.,betamethasoneclioquinol 0.1%/3% ointment
eczema preparations,m49w.,betamethasone+neomycin sulphate 0.1/0.5% ointment
eczema preparations,m49x.,betamethasone+neomycin sulphate 0.1/0.5% cream
eczema preparations,m49y.,betamethasone+clioquinol 0.1/3% ointment
eczema preparations,m49z.,betamethasone+clioquinol 0.1/3% cream
eczema preparations,m4a1.,dermovate 0.05% cream 30g
eczema preparations,m4a2.,dermovate 0.05% cream 100g
eczema preparations,m4a3.,dermovate 0.05% ointment 30g
eczema preparations,m4a4.,dermovate 0.05% ointment 100g
eczema preparations,m4a5.,dermovate 0.25% scalp application 25ml
eczema preparations,m4a6.,dermovate 0.05% scalp application 100ml
eczema preparations,m4a7.,dermovate-nn 0.05% cream 30g
eczema preparations,m4a8.,dermovate-nn 0.05% ointment 30g
eczema preparations,m4af.,dermovate 0.05% scalp application 30ml
eczema preparations,m4ah.,etrivex 500micrograms/g shampoo 125ml
eczema preparations,m4ah.,etrivex500micrograms/g shampoo 125ml
eczema preparations,m4b1.,eumovate 0.05% cream 30g
eczema preparations,m4b2.,eumovate 0.05% cream 100g
eczema preparations,m4b3.,eumovate 0.05% ointment 30g
eczema preparations,m4b4.,eumovate 0.05% ointment 100g
eczema preparations,m4b5.,trimovate cream 30g
eczema preparations,m4b6.,trimovate ointment 30g
eczema preparations,m4b7.,eumovate 0.05% cream 15g
eczema preparations,m4e1.,nerisone 0.1% cream 30g
eczema preparations,m4e2.,nerisone 0.1% oily cream 30g
eczema preparations,m4e3.,nerisone 0.1% ointment 30g
eczema preparations,m4e4.,nerisone forte 0.3% oily cream 15g
eczema preparations,m4e5.,nerisone forte 0.3% ointment 15g
eczema preparations,m4g1.,synalar 0.025% cream 15g
eczema preparations,m4g2.,synalar 0.025% cream 30g
eczema preparations,m4g3.,synalar 0.025% cream 50g
eczema preparations,m4g4.,synalar 0.025% gel 30g
eczema preparations,m4g5.,synalar 0.025% ointment 15g
eczema preparations,m4g6.,synalar 0.025% ointment 30g
eczema preparations,m4g7.,synalar 0.025% ointment 50g
eczema preparations,m4g8.,synalar 1:4 cream 50g
eczema preparations,m4g9.,synalar 1:10 cream 50g
eczema preparations,m4gc.,synalar c 0.025% cream 15g
eczema preparations,m4gd.,synalar c 0.025% ointment 15g
eczema preparations,m4ge.,synalar n 0.025% cream 15g
eczema preparations,m4gf.,synalar n 0.025% cream 30g
eczema preparations,m4gg.,synalar n 0.025% ointment 15g
eczema preparations,m4gh.,synalar n 0.025% ointment 30g
eczema preparations,m4gi.,synalar 1:4 ointment 50g
eczema preparations,m4gj.,synalar 0.025% gel 60g
eczema preparations,m4go.,fluocinolone acetonide+clioquinol 0.025%/3% cream
eczema preparations,m4gp.,fluocinolone acetonide+clioquinol 0.025%/3% ointment
eczema preparations,m4h1.,metosyn 0.05% cream 25g
eczema preparations,m4h2.,metosyn 0.05% cream 100g
eczema preparations,m4h3.,metosyn 0.05% ointment 25g
eczema preparations,m4h4.,metosyn 0.05% ointment 100g
eczema preparations,m4h5.,metosyn 0.05% scalp application 30ml
eczema preparations,m4i5.,ultralanum plain cream 30g
eczema preparations,m4i6.,ultralanum cream 50g
eczema preparations,m4i7.,ultralanum plain ointment 30g
eczema preparations,m4i8.,ultralanum ointment 50g
eczema preparations,m4if.,ultralanum plain cream 50g
eczema preparations,m4ig.,ultralanum plain ointment 50g
eczema preparations,m4j1.,haelan 0.0125% cream 60g
eczema preparations,m4j2.,haelan 0.0125% ointment 60g
eczema preparations,m4j3.,haelan-x 0.05% cream 15g
eczema preparations,m4j4.,haelan-x 0.05% ointment 15g
eczema preparations,m4j5.,haelan-c 0.0125% cream 30g
eczema preparations,m4j6.,haelan-c 0.0125% ointment 30g
eczema preparations,m4l..,hydrocortisone butyrate
eczema preparations,m4l1.,locoid 0.1% cream 30g
eczema preparations,m4l2.,locoid 0.1% cream 100g
eczema preparations,m4l3.,locoid 0.1% lipocream 30g
eczema preparations,m4l4.,locoid 0.1% ointment 30g
eczema preparations,m4l5.,locoid 0.1% ointment 100g
eczema preparations,m4l6.,locoid 0.1% scalp lotion 30ml
eczema preparations,m4l7.,locoid 0.1% scalp lotion 100ml
eczema preparations,m4l8.,locoid c 0.1% cream 30g
eczema preparations,m4l9.,locoid c 0.1% ointment 30g
eczema preparations,m4la.,locoid 0.1% lipocream 100g
eczema preparations,m4lb.,locoid crelo 0.1% emulsion
eczema preparations,m4lb.,locoidcrelo 0.1% emulsion
eczema preparations,m4lt.,hydrocortisone butyrate 0.1% emulsion
eczema preparations,m4lw.,hydrocortisone butyrate 0.1% cream
eczema preparations,m4lx.,hydrocortisone butyrate 0.1% lipocream
eczema preparations,m4ly.,hydrocortisone butyrate 0.1% ointment
eczema preparations,m4lz.,hydrocortisone butyrate 0.1% scalp lotion
eczema preparations,m4n9.,aureocort cream 15g
eczema preparations,m4na.,aureocort ointment 15g
eczema preparations,m4p1.,hydrocal 1% cream
eczema preparations,m4p2.,lanacort cream
eczema preparations,m4pz.,hydrocortisone acetate 1% cream
eczema preparations,m4q..,mometasone furoate [topical]
eczema preparations,m4q1.,elocon cream 30g
eczema preparations,m4q2.,elocon lotion 30ml
eczema preparations,m4q3.,elocon ointment 30g
eczema preparations,m4q4.,mometasone furoate 0.1% cream 30g
eczema preparations,m4q5.,mometasone furoate 0.1% lotion 30ml
eczema preparations,m4q6.,mometasone furoate 0.1% ointment 30g
eczema preparations,m4q7.,mometasone furoate 0.1% cream
eczema preparations,m4q8.,mometasone furoate 0.1% ointment
eczema preparations,m4q9.,mometasone furoate 0.1% lotion
eczema preparations,m4qA.,elocon cream 100g
eczema preparations,m4qB.,elocon ointment 100g
eczema preparations,m4r1.,cutivate 0.05% cream
eczema preparations,m4r3.,cutivate 0.05% cream 15g
eczema preparations,m4r4.,cutivate 0.05% cream 50g
eczema preparations,m4r6.,cutivate 0.005% ointment
eczema preparations,m4r7.,cutivate 0.005% ointment 15g
eczema preparations,m4r8.,cutivate 0.005% ointment 50g
eczema preparations,m4r9.,cutivate0.005% ointment 30g
eczema preparations,m4rA.,cutivate0.05% cream 30g
eczema preparations,m5...,preparations for psoriasis+eczema
eczema preparations,m51..,coal tar product
eczema preparations,m511.,calamine+coal tar ointment bp
eczema preparations,m512.,coal tar+salicylic acid ointment bp
eczema preparations,m513.,coal tar 10% paint
eczema preparations,m514.,coal tar 7.5% paste bp
eczema preparations,m515.,zinc+coal tar paste bp
eczema preparations,m516.,alphosyl cream 100g
eczema preparations,m517.,alphosyl lotion 250ml
eczema preparations,m518.,carbo-dome 10% cream 30g
eczema preparations,m519.,carbo-dome 10% cream 100g
eczema preparations,m51a.,clinitar 1% cream 60g
eczema preparations,m51A.,coal tar ointment bpc
eczema preparations,m51b.,clinitar 2.5% gel 40g
eczema preparations,m51B.,tarcortin cream 100g
eczema preparations,m51c.,gelcotar gel 50g
eczema preparations,m51C.,clinitar 1% cream 100g
eczema preparations,m51d.,gelcotar gel 500g
eczema preparations,m51D.,strong coal tar 40% solution
eczema preparations,m51e.,meditar 5% wax stick x1
eczema preparations,m51E.,balneum+tar bath oil 200ml
eczema preparations,m51f.,pragmatar cream 25g
eczema preparations,m51F.,pixol bath and shower gel
eczema preparations,m51g.,psoriderm cream 225ml
eczema preparations,m51G.,baltar 1.5% scalp application 200ml
eczema preparations,m51h.,psorigel 7.5% gel 90g
eczema preparations,m51H.,coal tar 1% lotion
eczema preparations,m51i.,zinc paste + coal tar bandage
eczema preparations,m51I.,exorex lotion 100ml
eczema preparations,m51j.,coltapaste 7.5cmx6m bandage
eczema preparations,m51J.,coal tar distillate 1.5% shampoo
eczema preparations,m51k.,tarband 7.5cmx6m bandage
eczema preparations,m51K.,coal tar distillate+soya oil 30/50% bath oil
eczema preparations,m51l.,coal tar 20% solution bp
eczema preparations,m51L.,exorex lotion 250ml
eczema preparations,m51m.,polytar emollient 350ml
eczema preparations,m51n.,psoriderm 40% bath emulsion 200ml
eczema preparations,m51N.,coal tar solution+hydrocortisone 3%/0.25% cream
eczema preparations,m51o.,alphosyl hc cream 30g
eczema preparations,m51p.,alphosyl hc cream 45g
eczema preparations,m51q.,carbo-cort cream 30g
eczema preparations,m51Q.,coal tar usp solution 7.5% gel
eczema preparations,m51r.,tarcortin cream 30g
eczema preparations,m51R.,coal tar 40% bath emulsion
eczema preparations,m51s.,tarcortin cream 45g
eczema preparations,m51S.,coal tar+lecithin 6/0.4% cream
eczema preparations,m51t.,gelcosal 5% gel 50g
eczema preparations,m51T.,psorigel 7.5% gel 100g
eczema preparations,m51u.,baltar 1.5% scalp application 225ml
eczema preparations,m51U.,strong coal tar solution+pine tar 5/5% gel
eczema preparations,m51v.,baltar 1.5% scalp application 500ml
eczema preparations,m51V.,coal tar extract 1% cream
eczema preparations,m51w.,balneum with tar bath oil 225ml
eczema preparations,m51W.,coal tar extract+hydrocortisone 3%/0.25% cream
eczema preparations,m51W.,coaltar extract+hydrocortisone 3%/0.25% cream
eczema preparations,m51x.,pragmatar cream 100g
eczema preparations,m51X.,coal tar solution 10% cream
eczema preparations,m51y.,polytar emollient 1l
eczema preparations,m51Y.,coal tar extract+allantoin 5%/2% lotion
eczema preparations,m51z.,alphosyl hc cream 100g
eczema preparations,m51Z.,coal tar extract+allantoin 5%/2% cream
eczema preparations,m52..,bufexamac
eczema preparations,m521.,parfenac 5% cream 15g
eczema preparations,m522.,parfenac 5% cream 30g
eczema preparations,m52z.,bufexamac 5% cream
eczema preparations,m55..,etretinate
eczema preparations,m551.,tigason 10mg capsules
eczema preparations,m552.,tigason 25mg capsules
eczema preparations,m55y.,etretinate 10mg capsules
eczema preparations,m55z.,etretinate 25mg capsules
eczema preparations,m56..,ichthammol
eczema preparations,m561.,ichthammol 10% ointment bp
eczema preparations,m562.,zinc+ichthammol cream bp
eczema preparations,m564.,ichthopaste 7.5cmx6m bandage
eczema preparations,m565.,ichthaband 7.5cmx6m bandage
eczema preparations,m566.,zinc paste and ichthammol 6%/2% 7.5cmx6m bandage
eczema preparations,m567.,zinc paste and ichthammol 15%/2% 7.5cmx6m bandage
eczema preparations,m5D..,coal tar [2]
eczema preparations,m5D1.,polytar emollient 500ml
eczema preparations,m5D2.,coal tar 12%/sulphur 4%/salicylic acid 2% ointment
eczema preparations,m5D3.,sebco ointment 40g
eczema preparations,m5D4.,sebco ointment 100g
eczema preparations,m5E..,tacrolimus [skin]
eczema preparations,m5E1.,tacrolimus monohydrate 0.03% ointment
eczema preparations,m5E2.,tacrolimus monohydrate 0.1% ointment
eczema preparations,m5E3.,protopic 0.03% ointment 30g
eczema preparations,m5E4.,protopic 0.03% ointment 60g
eczema preparations,m5E5.,protopic 0.1% ointment 30g
eczema preparations,m5E6.,protopic 0.1% ointment 60g
eczema preparations,m5F..,pimecrolimus
eczema preparations,m5F1.,pimecrolimus 10mg/g cream
eczema preparations,m5F2.,elidel 1% cream 30g
eczema preparations,m5H..,alitretinoin
eczema preparations,m5H1.,toctino 10mg capsules
eczema preparations,m5H2.,toctino 30mg capsules
eczema preparations,m5HY.,alitretinoin 30mg capsules
eczema preparations,m5HZ.,alitretinoin 10mg capsules
eczema preparations,m671.,erythromycin 2% lotion 25mlx2
eczema preparations,m672.,stiemycin 2% lotion 25mlx2
eczema preparations,m673.,zineryt lotion 30ml
eczema preparations,m674.,stiemycin solution
eczema preparations,m675.,erythromycin 2% topical solution
eczema preparations,m676.,erythromycin+zinc acetate 40mg/12mg/ml topical solution
eczema preparations,m677.,zineryt lotion 90ml
eczema preparations,m678.,benzamycin topical gel
eczema preparations,m679.,erythromycin 3% in benzoyl peroxide topical gel
eczema preparations,m67A.,erythromycin 2% topical gel
eczema preparations,m67B.,erythromycin 4% topical gel
eczema preparations,m67C.,eryacne 2 topical gel 30g
eczema preparations,m67D.,eryacne 4 topical gel 30g
eczema preparations,m67E.,aknemycin plus solution 25ml
eczema preparations,m67z.,erythromycin+tretinoin 4%/0.025% topical solution
eczema preparations,m693.,isotretinoin+erythromycin 0.05%/2% gel
eczema preparations,m694.,isotrexin gel 30g
eczema preparations,mb11.,alphosyl shampoo 60g
eczema preparations,mb19.,clinitar 2% shampoo 60g
eczema preparations,mb1a.,gelcotar liquid 150ml
eczema preparations,mb1A.,t/gel 2% shampoo 200ml
eczema preparations,mb1b.,genisol liquid 58ml
eczema preparations,mb1B.,t/gel 2% shampoo 250ml
eczema preparations,mb1c.,genisol liquid 250ml
eczema preparations,mb1C.,clinitar 2% shampoo 100g
eczema preparations,mb1d.,genisol liquid 600ml
eczema preparations,mb1D.,alphosyl 2-in-1 combined shampoo and conditioner 125ml
eczema preparations,mb1e.,ionil t shampoo 200ml
eczema preparations,mb1E.,alphosyl 2-in-1 combined shampoo and conditioner 250ml
eczema preparations,mb1F.,polytar liquid 250ml
eczema preparations,mb1G.,polytar liquid 500ml
eczema preparations,mb1i.,polytar liquid 65ml
eczema preparations,mb1j.,polytar liquid 150ml
eczema preparations,mb1J.,pentrax shampoo 120ml
eczema preparations,mb1k.,polytar liquid 350ml
eczema preparations,mb1l.,polytar plus liquid 150ml
eczema preparations,mb1m.,polytar plus liquid 350ml
eczema preparations,mb1n.,psoriderm shampoo 120ml
eczema preparations,mb1o.,psoriderm shampoo 250ml
eczema preparations,mb1O.,polytar af liquid 150ml
eczema preparations,mb1Q.,coal tar extract 2% shampoo
eczema preparations,mb1t.,t/gel 2% shampoo 125ml
eczema preparations,mb1V.,coal tar+lecithin 2.5/0.3% shampoo
eczema preparations,mb1w.,alphosyl shampoo 125ml
eczema preparations,mb1W.,alcoholic coal tar extract 5% shampoo
eczema preparations,mb1x.,gelcotar liquid 350ml
eczema preparations,mb1y.,alphosyl shampoo 250ml
eczema preparations,mb1z.,capasal shampoo 250ml
eczema preparations,mb1Z.,coal tar 4.3% shampoo
eczema preparations,mb51.,polytar plus liquid 500ml
eczema preparations,mb54.,polytar af liquid 250ml
eczema preparations,mb58.,t/gel shampoo for dry hair 125ml
eczema preparations,mb59.,t/gel shampoo for dry hair 250ml
eczema preparations,me46.,lotriderm cream 15g
eczema preparations,me4D.,lotriderm cream 30g
eczema preparations,me6..,ketoconazole [skin]
eczema preparations,me61.,nizoral 2% cream 30g
eczema preparations,me62.,ketoconazole 2% cream
eczema preparations,me63.,daktarin gold 2% cream 15g
eczema preparations,p5f4.,zinc paste+ichthammol bandage
eczema preparations,x000D,alphosyl 2 in 1 shampoo
eczema preparations,x001L,betamethasone+clioquinol
eczema preparations,x0026,clobetasol propionate+neomycin sulphate+nystatin
eczema preparations,x005x,hydrocortisone+clioquinol
eczema preparations,x0066,hydrocortisone+nystatin
eczema preparations,x00bo,betnovate scalp application
eczema preparations,x00bq,dermovate scalp application
eczema preparations,x00br,diprosalic scalp application
eczema preparations,x00bs,locoid 0.1% scalp lotion
eczema preparations,x00by,baltar shampoo
eczema preparations,x00c0,capasal shampoo
eczema preparations,x00c3,clinitar shampoo
eczema preparations,x00c5,ionil t shampoo
eczema preparations,x00c7,pentrax shampoo
eczema preparations,x00c9,psoriderm shampoo
eczema preparations,x00cC,t/gel shampoo
eczema preparations,x00D3,polytar emollient bath additive
eczema preparations,x00D8,psoriderm bath emulsion
eczema preparations,x00DD,balneum with tar bath oil
eczema preparations,x00Fa,betnovate cream
eczema preparations,x00Fb,betnovate c cream
eczema preparations,x00Fc,betnovate n cream
eczema preparations,x00Fd,betnovate rd cream
eczema preparations,x00Fm,canesten hc cream
eczema preparations,x00Fn,carbo-cort cream
eczema preparations,x00FN,alphaderm cream
eczema preparations,x00Fo,carbo-dome cream
eczema preparations,x00FO,alphosyl cream
eczema preparations,x00FP,alphosyl hc cream
eczema preparations,x00Ft,clinitar cream
eczema preparations,x00FW,aureocort cream
eczema preparations,x00G0,daktacort cream
eczema preparations,x00G3,dermovate cream
eczema preparations,x00G4,dermovate-nn cream
eczema preparations,x00G6,dioderm cream
eczema preparations,x00G8,diprosone cream
eczema preparations,x00GI,econacort cream
eczema preparations,x00Gl,hydrocortisone 0.5% cream
eczema preparations,x00Gm,hydrocortisone 1% cream
eczema preparations,x00GM,efcortelan 0.5% cream
eczema preparations,x00GN,efcortelan 1% cream
eczema preparations,x00Go,hydrocortistab 1% cream
eczema preparations,x00GO,efcortelan 2.5% cream
eczema preparations,x00Gp,hydrocortisyl 1% cream
eczema preparations,x00GS,eumovate cream
eczema preparations,x00Gw,locoid 0.1% cream
eczema preparations,x00Gx,locoid c 0.1% cream
eczema preparations,x00Gy,lotriderm cream
eczema preparations,x00GY,fucibet cream
eczema preparations,x00H2,mildison lipocream 1% cream
eczema preparations,x00H9,nystaform-hc 0.5% cream
eczema preparations,x00Hb,tarcortin cream
eczema preparations,x00Hd,terra-cortril nystatin cream
eczema preparations,x00He,timodine cream
eczema preparations,x00HE,pragmatar cream
eczema preparations,x00HH,propaderm 0.025% cream
eczema preparations,x00HK,psoriderm cream
eczema preparations,x00Hl,trimovate cream
eczema preparations,x00Hu,vioform hydrocortisone cream
eczema preparations,x00Mp,gelcosal gel
eczema preparations,x00Mq,gelcotar gel
eczema preparations,x00N7,psorigel 7.5% gel
eczema preparations,x00T7,alphosyl lotion
eczema preparations,x00TA,betnovate lotion
eczema preparations,x00TG,diprosone lotion
eczema preparations,x00Tx,locoid 0.1% lipocream
eczema preparations,x00V6,gelcotar liquid
eczema preparations,x00V7,genisol liquid
eczema preparations,x00Vi,polytar liquid
eczema preparations,x00Vj,polytar plus liquid
eczema preparations,x00Wb,betnovate ointment
eczema preparations,x00Wc,betnovate c ointment
eczema preparations,x00Wd,betnovate n ointment
eczema preparations,x00We,betnovate rd ointment
eczema preparations,x00Wl,daktacort ointment
eczema preparations,x00Wm,dermovate ointment
eczema preparations,x00Wn,dermovate-nn ointment
eczema preparations,x00Wp,diprosalic ointment
eczema preparations,x00Wq,diprosone ointment
eczema preparations,x00Wu,efcortelan 0.5% ointment
eczema preparations,x00Wv,efcortelan 1% ointment
