Infection,Read code,Term
influenza,XE0ZJ,(Influenza NOS) or (influenza-like illness)
influenza,XM0rz,Influenza-like illness
influenza,XM0s0,Flu-like illness NOS
influenza,Y0b97,Swine influenza
influenza,Y8508,Pneumonia/influenza NOS
LRTI,.A22.,Pulmonary tuberculosis
LRTI,65VA.,Notification of whooping cough
LRTI,A0222,Salmonella pneumonia
LRTI,A0222,Salmonella pneumonia
LRTI,A054.,Amoebic lung abscess
LRTI,A054.,Amoebic lung abscess
LRTI,A11..,Pulmonary tuberculosis
LRTI,A11..,Pulmonary tuberculosis
LRTI,A110.,Infiltrative lung tuberculosis
LRTI,A110.,Infiltrative lung tuberculosis
LRTI,A111.,Nodular lung tuberculosis
LRTI,A111.,Nodular lung tuberculosis
LRTI,A112.,Tuberculosis of lung with cavitation
LRTI,A112.,Tuberculosis of lung with cavitation
LRTI,A113.,Tuberculosis of bronchus
LRTI,A113.,Tuberculosis of bronchus
LRTI,A114.,Tuberculous fibrosis of lung
LRTI,A115.,Tuberculous bronchiectasis
LRTI,A115.,Tuberculous bronchiectasis
LRTI,A116.,Tuberculous pneumonia
LRTI,A116.,Tuberculous pneumonia
LRTI,A117.,Tuberculous pneumothorax
LRTI,A11y.,Other specified pulmonary tuberculosis
LRTI,A11y.,Other specified pulmonary tuberculosis
LRTI,A11z.,Pulmonary tuberculosis NOS
LRTI,A11z.,Pulmonary tuberculosis NOS
LRTI,A120.,Tuberculosis of pleura
LRTI,A1201,Tuberculous empyema
LRTI,A1202,Tuberculous hydrothorax
LRTI,A1202,Tuberculous hydrothorax
LRTI,A120z,Tuberculous pleurisy NOS
LRTI,A1220,Isolated tracheal tuberculosis
LRTI,A1221,Isolated bronchial tuberculosis
LRTI,A1221,Isolated bronchial tuberculosis
LRTI,A1240,TB lung confirm sputum microscopy with or without culture
LRTI,A1240,TB lung confirm sputum microscopy with or without culture
LRTI,A1241,"Tuberculosis of lung, confirmed by culture only"
LRTI,A1241,"Tuberculosis of lung, confirmed by culture only"
LRTI,A1242,"Tuberculosis of lung, confirmed histologically"
LRTI,A1242,"Tuberculosis of lung, confirmed histologically"
LRTI,A1243,"Tuberculosis of lung, confirmed by unspecified means"
LRTI,A1243,"Tuberculosis of lung, confirmed by unspecified means"
LRTI,A1246,"Tuberculous pleurisy, conf bacteriologically/histologically"
LRTI,A1251,Tuberculosis lung bact and histological examin not done
LRTI,A1251,Tuberculosis lung bact and histological examin not done
LRTI,A203.,Primary pneumonic plague
LRTI,A203.,Primary pneumonic plague
LRTI,A204.,Secondary pneumonic plague
LRTI,A204.,Secondary pneumonic plague
LRTI,A205.,"Pneumonic plague, unspecified"
LRTI,A205.,"Pneumonic plague, unspecified"
LRTI,A3100,Pulm mycob avium-intracell inf
LRTI,A33..,Whooping cough
LRTI,A330.,Bordetella pertussis
LRTI,A331.,Bordetella parapertussis
LRTI,A33y.,Whooping cough - other specified organism
LRTI,A33y.,Whooping cough - other specified organism
LRTI,A33y.,Whooping cough - other specified organism
LRTI,A33y0,Bordetella bronchiseptica
LRTI,A33yz,Other whooping cough NOS
LRTI,A33yz,Other whooping cough NOS
LRTI,A33yz,Other whooping cough NOS
LRTI,A33z.,Whooping cough NOS
LRTI,A33z.,Whooping cough NOS
LRTI,A33z.,Whooping cough NOS
LRTI,A36..,Meningococcal infection
LRTI,A3B1.,Staphylococcal infection
LRTI,A3B3.,Friedlander's bacillus infection
LRTI,A3BX4,Streptococ pneumon/cause/disease classified/oth chapters
LRTI,A3BXA,Mycoplasma pneumoniae [PPLO] cause/dis classifd/oth chaptr
LRTI,A3BXB,Klebsiella pneumoniae/cause/disease classifd/oth chapters
LRTI,A3By1,Eaton's agent infection
LRTI,A3By1,Eaton's agent infection
LRTI,A3By4,Mycoplasmal pneumonia
LRTI,A3By4,Pleuropneumonia-like organism (PPLO) infection
LRTI,A521.,Chickenpox pneumonia
LRTI,A54x4,Herpes simplex pneumonia
LRTI,A73..,Ornithosis - psittacosis
LRTI,A73x.,Ornithosis with other specified complications
LRTI,A73x.,Ornithosis with other specified complications
LRTI,A73y.,Ornithosis with unspecified complications
LRTI,A73y.,Ornithosis with unspecified complications
LRTI,A73z.,Unspecified Ornithosis
LRTI,A73z.,Unspecified Ornithosis
LRTI,A78B.,Hantavir cardio-pulmonary synd
LRTI,AB24.,Candidiasis of lung
LRTI,AB30.,Primary pulmonary coccidioidomycosis
LRTI,AB30.,Primary pulmonary coccidioidomycosis
LRTI,AB301,Chron pulm coccidioidomycosis
LRTI,AB405,Histoplasma capsulatum with pneumonia
LRTI,AB405,Histoplasma capsulatum with pneumonia
LRTI,AB406,Ac pulm histoplasmosis capsul
LRTI,AB407,Chron pulm histoplasmosis caps
LRTI,AB415,Pulmonary African histoplasmosis
LRTI,AB415,Histoplasma duboisii with pneumonia
LRTI,AB501,Primary pulmonary blastomycosis
LRTI,AB501,Primary pulmonary blastomycosis
LRTI,AB504,Acute pulmonary blastomycosis
LRTI,AB504,Acute pulmonary blastomycosis
LRTI,AB506,Pulmonary blastomycosis
LRTI,AB511,Pulmonary paracoccidioidomycosis
LRTI,AB511,Pulmonary paracoccidioidomycosis
LRTI,AB636,Aspergillus bronchitis
LRTI,AB670,Pulmonary mucormycosis
LRTI,AD04.,Toxoplasma pneumonitis
LRTI,AD04.,Toxoplasma pneumonitis
LRTI,Ayu39,[X]Whooping cough due to other Bordetella species
LRTI,Ayu39,[X]Whooping cough due to other Bordetella species
LRTI,Ayu39,[X]Whooping cough due to other Bordetella species
LRTI,Ayu3A,"[X]Whooping cough, unspecified"
LRTI,Ayu3A,"[X]Whooping cough, unspecified"
LRTI,Ayu3A,"[X]Whooping cough, unspecified"
LRTI,AyuK3,[X]Streptococcus pneumoniae as the cause of diseases classified to other chapters
LRTI,AyuK9,[X]Mycoplasma pneumoniae [pplo] as the cause of diseases classified to other chapters
LRTI,AyuKA,[X]Klebsiella pneumoniae as the cause of diseases classified to other chapters
LRTI,H06..,Acute bronchitis and bronchiolitis
LRTI,H06..,Acute bronchitis and bronchiolitis
LRTI,H060.,Acute bronchitis
LRTI,H0600,Acute fibrinous bronchitis
LRTI,H0601,Acute membranous bronchitis
LRTI,H0602,Acute pseudomembranous bronchitis
LRTI,H0603,Acute purulent bronchitis
LRTI,H0603,Acute purulent bronchitis
LRTI,H0604,Acute croupous bronchitis
LRTI,H0605,Acute tracheobronchitis
LRTI,H0606,Acute pneumococcal bronchitis
LRTI,H0606,Acute pneumococcal bronchitis
LRTI,H0607,Acute streptococcal bronchitis
LRTI,H0607,Acute streptococcal bronchitis
LRTI,H0608,Acute haemophilus influenzae bronchitis
LRTI,H0608,Acute haemophilus influenzae bronchitis
LRTI,H0609,Acute Neisseria catarrhalis bronchitis
LRTI,H0609,Acute neisseria catarrhalis bronchitis
LRTI,H060A,Acute bronchitis due to mycoplasma pneumoniae
LRTI,H060B,Acute coxsackievirus bronchitis
LRTI,H060B,Acute bronchitis due to coxsackievirus
LRTI,H060C,Acute parainfluenza virus bronchitis
LRTI,H060C,Acute bronchitis due to parainfluenza virus
LRTI,H060D,Acute respiratory syncytial virus bronchitis
LRTI,H060D,Acute bronchitis due to respiratory syncytial virus
LRTI,H060E,Acute bronchitis due to rhinovirus
LRTI,H060E,Acute bronchitis due to rhinovirus
LRTI,H060F,Acute echovirus bronchitis
LRTI,H060F,Acute bronchitis due to echovirus
LRTI,H060v,Subacute bronchitis unspecified
LRTI,H060w,Acute viral bronchitis unspecified
LRTI,H060w,Acute viral bronchitis unspecified
LRTI,H060x,Acute bacterial bronchitis unspecified
LRTI,H060x,Acute bacterial bronchitis unspecified
LRTI,H060z,Acute bronchitis NOS
LRTI,H061.,Acute bronchiolitis
LRTI,H061.,Acute bronchiolitis
LRTI,H0610,Acute capillary bronchiolitis
LRTI,H0611,Acute obliterating bronchiolitis
LRTI,H0612,Acute bronchiolitis with bronchospasm
LRTI,H0613,Acute exudative bronchiolitis
LRTI,H0614,Obliterating fibrous bronchiolitis
LRTI,H0615,Acute bronchiolitis due to respiratory syncytial virus
LRTI,H0615,Acute bronchiolitis due to respiratory syncytial virus
LRTI,H0616,Acute bronchiolitis due to other specified organisms
LRTI,H0616,Acute bronchiolitis due to other specified organisms
LRTI,H0617,Ac bronchiol due hum metapneum
LRTI,H061z,Acute bronchiolitis NOS
LRTI,H062.,Acute lower respiratory tract infection
LRTI,H06z.,Acute bronchitis or bronchiolitis NOS
LRTI,H06z.,Acute bronchitis or bronchiolitis NOS
LRTI,H06z0,Chest infection (& NOS)
LRTI,H06z0,Chest infection NOS
LRTI,H06z1,Lower resp tract infection
LRTI,H06z2,Recurrent chest infection
LRTI,H07..,Chest cold
LRTI,H07..,Chest cold
LRTI,H1yz0,Tracheal abscess
LRTI,H1yz0,Abscess of trachea
LRTI,H2...,Pneumonia and influenza
LRTI,H2...,Pneumonia and influenza
LRTI,H20..,Viral pneumonia (& chest infection)
LRTI,H20..,Viral pneumonia
LRTI,H200.,Adenoviral pneumonia
LRTI,H200.,Pneumonia due to adenovirus
LRTI,H201.,Pneumonia due to respiratory syncytial virus
LRTI,H201.,Pneumonia due to respiratory syncytial virus
LRTI,H202.,Parainfluenzal pneumonia
LRTI,H202.,Pneumonia due to parainfluenza virus
LRTI,H203.,Pneumonia due to human metapneumovirus
LRTI,H20y.,Viral pneumonia NEC
LRTI,H20y.,Viral pneumonia NEC
LRTI,H20y0,Severe acute respiratory syndrome
LRTI,H20z.,Viral pneumonia NOS
LRTI,H20z.,Viral pneumonia NOS
LRTI,H21..,Pneumococcal pneumonia (& lobar)
LRTI,H21..,Lobar (pneumococcal) pneumonia
LRTI,H22..,Other bacterial pneumonia
LRTI,H22..,Other bacterial pneumonia
LRTI,H220.,Pneumonia due to Klebsiella pneumoniae
LRTI,H220.,Pneumonia due to klebsiella pneumoniae
LRTI,H221.,Pseudomonal pneumonia
LRTI,H221.,Pneumonia due to pseudomonas
LRTI,H222.,Haemophilus influenzae pneumonia
LRTI,H222.,Pneumonia due to haemophilus influenzae
LRTI,H223.,Streptococcal pneumonia
LRTI,H223.,Pneumonia due to streptococcus
LRTI,H2230,Group B streptococcal pneumonia
LRTI,H2230,"Pneumonia due to streptococcus, group B"
LRTI,H224.,Staphylococcal pneumonia
LRTI,H224.,Pneumonia due to staphylococcus
LRTI,H22y.,Pneumonia due to other specified bacteria
LRTI,H22y.,Pneumonia due to other specified bacteria
LRTI,H22y0,Escherichia coli pneumonia
LRTI,H22y0,Pneumonia due to escherichia coli
LRTI,H22y1,Proteus pneumonia
LRTI,H22y1,Pneumonia due to proteus
LRTI,H22y2,Legionella pneumonia
LRTI,H22y2,Pneumonia - Legionella
LRTI,H22y3,Pneumonia due to Gram neg bact
LRTI,H22yX,Pneumonia due to other aerobic gram-negative bacteria
LRTI,H22yz,Pneumonia due to bacteria NOS
LRTI,H22yz,Pneumonia due to bacteria NOS
LRTI,H22z.,Bacterial pneumonia NOS
LRTI,H22z.,Bacterial pneumonia NOS
LRTI,H23..,Pneumonia due to other specified organisms
LRTI,H23..,Pneumonia due to other specified organisms
LRTI,H230.,Pneumonia due to Eaton's agent
LRTI,H231.,Mycoplasmal pneumonia
LRTI,H231.,Pneumonia due to mycoplasma pneumoniae
LRTI,H232.,Pneumonia due to pleuropneumonia-like organism
LRTI,H232.,Pneumonia due to pleuropneumonia like organisms
LRTI,H233.,Chlamydial pneumonia
LRTI,H23z.,Pneumonia due to specified organism NOS
LRTI,H23z.,Pneumonia due to specified organism NOS
LRTI,H24..,(Pneumonia) or (chest infection) with infectious diseases EC
LRTI,H24..,Pneumonia with infectious diseases EC
LRTI,H240.,Measles pneumonia
LRTI,H240.,Pneumonia with measles
LRTI,H241.,Cytomegalovirus pneumonia
LRTI,H241.,Pneumonia with cytomegalic inclusion disease
LRTI,H242.,Pneumonia with ornithosis
LRTI,H243.,Pertussis pneumonia
LRTI,H243.,Pertussis pneumonia
LRTI,H243.,Pneumonia with whooping cough
LRTI,H244.,Tularaemia pneumonia
LRTI,H244.,Pneumonia with tularaemia
LRTI,H245.,Anthrax pneumonia
LRTI,H245.,Pneumonia with anthrax
LRTI,H246.,Pneumonia with aspergillosis
LRTI,H246.,Pneumonia with aspergillosis
LRTI,H247.,Pneumonia with other systemic mycoses
LRTI,H247.,Pneumonia with other systemic mycoses
LRTI,H2470,Candidal pneumonia
LRTI,H2470,Pneumonia with candidiasis
LRTI,H2471,Pneumonia with coccidioidomycosis
LRTI,H2472,Pneumonia with histoplasmosis
LRTI,H247z,Pneumonia with systemic mycosis NOS
LRTI,H247z,Pneumonia with systemic mycosis NOS
LRTI,H24y.,Pneumonia with other infectious diseases EC
LRTI,H24y.,Pneumonia with other infectious diseases EC
LRTI,H24y0,Actinomycotic pneumonia
LRTI,H24y0,Pneumonia with actinomycosis
LRTI,H24y1,Nocardial pneumonia
LRTI,H24y1,Pneumonia with nocardiasis
LRTI,H24y2,Pneumocystis carinii pneumonia
LRTI,H24y2,Pneumonia with pneumocystis carinii
LRTI,H24y3,Pneumonia with Q-fever
LRTI,H24y4,Pneumonia with salmonellosis
LRTI,H24y5,Toxoplasma pneumonia
LRTI,H24y5,Pneumonia with toxoplasmosis
LRTI,H24y6,Typhoid pneumonia
LRTI,H24y6,Pneumonia with typhoid fever
LRTI,H24y7,Chickenpox pneumonia
LRTI,H24y7,Pneumonia with varicella
LRTI,H24yz,Pneumonia with other infectious diseases EC NOS
LRTI,H24yz,Pneumonia with other infectious diseases EC NOS
LRTI,H24z.,Pneumonia with infectious diseases EC NOS
LRTI,H24z.,Pneumonia with infectious diseases EC NOS
LRTI,H25..,Bronchopneumonia due to unspecified organism
LRTI,H26..,Pneumonia due to unspecified organism
LRTI,H26..,Pneumonia due to unspecified organism
LRTI,H260.,Lobar pneumonia due to unspecified organism
LRTI,H260.,Lobar pneumonia due to unspecified organism
LRTI,H2600,Lung consolidation
LRTI,H261.,Basal pneumonia due to unspecified organism
LRTI,H261.,Basal pneumonia due to unspecified organism
LRTI,H262.,Postoperative pneumonia
LRTI,H263.,"Pneumonitis, unspecified"
LRTI,H270.,Influenzal pneumonia
LRTI,H270.,Influenza with pneumonia
LRTI,H2700,Influenza with bronchopneumonia
LRTI,H2700,Influenza with bronchopneumonia
LRTI,H2701,"Influenza with pneumonia, influenza virus identified"
LRTI,H2701,"Influenza with pneumonia, influenza virus identified"
LRTI,H270z,Influenza with pneumonia NOS
LRTI,H270z,Influenza with pneumonia NOS
LRTI,H28..,Atypical pneumonia
LRTI,H2B..,Community acquired pneumonia
LRTI,H2C..,Hospital acquired pneumonia
LRTI,H2y..,Other specified pneumonia or influenza
LRTI,H2y..,Other specified pneumonia or influenza
LRTI,H2z..,Pneumonia or influenza NOS
LRTI,H2z..,Pneumonia or influenza NOS
LRTI,H30..,Bronchitis unspecified
LRTI,H300.,Tracheobronchitis NOS
LRTI,H301.,Laryngotracheobronchitis
LRTI,H302.,Wheezy bronchitis
LRTI,H30z.,Bronchitis NOS
LRTI,H31..,Chronic bronchitis
LRTI,H310.,Simple chronic bronchitis
LRTI,H3100,Chronic catarrhal bronchitis
LRTI,H3101,Smokers' cough
LRTI,H310z,Simple chronic bronchitis NOS
LRTI,H311.,Mucopurulent chronic bronchitis
LRTI,H311.,Mucopurulent chronic bronchitis
LRTI,H3110,Purulent chronic bronchitis
LRTI,H3110,Purulent chronic bronchitis
LRTI,H3111,Fetid chronic bronchitis
LRTI,H311z,Mucopurulent chronic bronchitis NOS
LRTI,H311z,Mucopurulent chronic bronchitis NOS
LRTI,H312.,Obstructive chronic bronchitis
LRTI,H3120,Chronic asthmatic bronchitis
LRTI,H3121,Emphysematous bronchitis
LRTI,H3122,Acute exacerbation of chronic obstructive airways disease
LRTI,H312z,Obstructive chronic bronchitis NOS
LRTI,H313.,Mixed simple and mucopurulent chronic bronchitis
LRTI,H313.,Mixed simple and mucopurulent chronic bronchitis
LRTI,H31y.,Other chronic bronchitis
LRTI,H31y1,Chronic tracheobronchitis
LRTI,H31yz,Other chronic bronchitis NOS
LRTI,H31z.,Chronic bronchitis NOS
LRTI,H33zz,Asthma NOS
LRTI,H341.,Post-infective bronchiectasis
LRTI,H341.,Post-infective bronchiectasis
LRTI,H3y0.,Chronic obstruct pulmonary dis with acute lower resp infectn
LRTI,H5109,Pneumococcal pleurisy
LRTI,H510A,Staphylococcal pleurisy
LRTI,H510B,Streptococcal pleurisy
LRTI,H530.,Lung abscess
LRTI,H530.,Abscess of lung
LRTI,H5300,Single lung abscess
LRTI,H5300,Single lung abscess
LRTI,H5301,Multiple lung abscesses
LRTI,H5301,Multiple lung abscess
LRTI,H5303,Abscess of lung with pneumonia
LRTI,H5303,Abscess of lung with pneumonia
LRTI,H530z,Abscess of lung NOS
LRTI,H530z,Abscess of lung NOS
LRTI,H5400,Hypostatic pneumonia
LRTI,H5401,Hypostatic bronchopneumonia
LRTI,H5832,Eosinophilic bronchitis
LRTI,Hyu08,[X]Other viral pneumonia
LRTI,Hyu08,[X]Other viral pneumonia
LRTI,Hyu09,[X]Pneumonia due to other aerobic gram-negative bacteria
LRTI,Hyu09,[X]Pneumonia due to other aerobic gram-negative bacteria
LRTI,Hyu0A,[X]Other bacterial pneumonia
LRTI,Hyu0A,[X]Other bacterial pneumonia
LRTI,Hyu0B,[X]Pneumonia due to other specified infectious organisms
LRTI,Hyu0B,[X]Pneumonia due to other specified infectious organisms
LRTI,Hyu0C,[X]Pneumonia in bacterial diseases classified elsewhere
LRTI,Hyu0C,[X]Pneumonia in bacterial diseases classified elsewhere
LRTI,Hyu0D,[X]Pneumonia in viral diseases classified elsewhere
LRTI,Hyu0D,[X]Pneumonia in viral diseases classified elsewhere
LRTI,Hyu0E,[X]Pneumonia in mycoses classified elsewhere
LRTI,Hyu0E,[X]Pneumonia in mycoses classified elsewhere
LRTI,Hyu0F,[X]Pneumonia in parasitic diseases classified elsewhere
LRTI,Hyu0F,[X]Pneumonia in parasitic diseases classified elsewhere
LRTI,Hyu0G,[X]Pneumonia in other diseases classified elsewhere
LRTI,Hyu0H,"[X]Other pneumonia, organism unspecified"
LRTI,Hyu0H,"[X]Other pneumonia, organism unspecified"
LRTI,Hyu1.,[X]Other acute lower respiratory infections
LRTI,Hyu1.,[X]Other acute lower respiratory infections
LRTI,Hyu10,[X]Acute bronchitis due to other specified organisms
LRTI,Hyu10,[X]Acute bronchitis due to other specified organisms
LRTI,Hyu11,[X]Acute bronchiolitis due to other specified organisms
LRTI,Hyu11,[X]Acute bronchiolitis due to other specified organisms
LRTI,Hyu6.,[X]Suppurative & necrotic conditions of lower respir tract
LRTI,Q310.,Congenital pneumonia
LRTI,Q3100,Congenital staphylococcal pneumonia
LRTI,Q3101,Congenital group A haemolytic streptococcal pneumonia
LRTI,Q3102,Congenital group B haemolytic streptococcal pneumonia
LRTI,Q3103,Congenital Escherichia coli pneumonia
LRTI,Q3104,Congenital pseudomonal pneumonia
LRTI,Q3105,Cong pneumonia due viral agent
LRTI,Q3106,Congenital chlamydial pneumonia
LRTI,Qyu31,[X]Congenital pneumonia due to other bacterial agents
LRTI,Qyu32,[X]Congenital pneumonia due to other organisms
LRTI,SP131,Other aspiration pneumonia as a complication of care
LRTI,SP132,Postoperative chest infection
LRTI,SP132,Post operative chest infection
LRTI,X1004,Infection of lower respiratory tract
LRTI,X1004,Infection of lower respiratory tract
LRTI,X1006,Chest infection - unspecified bronchitis
LRTI,X1006,Chest infection - unspecified bronchitis
LRTI,X1007,Acute bacterial bronchitis
LRTI,X1007,Acute bacterial bronchitis
LRTI,X1009,Acute mycoplasmal bronchitis
LRTI,X1009,Acute mycoplasmal bronchitis
LRTI,X100A,Acute chlamydial bronchitis
LRTI,X100A,Acute chlamydial bronchitis
LRTI,X100b,Pneumonia due to parasitic infestation
LRTI,X100B,Acute viral bronchitis
LRTI,X100B,Acute viral bronchitis
LRTI,X100C,Acute viral bronchiolitis
LRTI,X100C,Acute viral bronchiolitis
LRTI,X100d,Rickettsial pneumonia
LRTI,X100d,Rickettsial pneumonia
LRTI,X100D,Acute bronchiolitis due to adenovirus
LRTI,X100D,Acute bronchiolitis due to adenovirus
LRTI,X100e,Glandular fever pneumonia
LRTI,X100e,Glandular fever pneumonia
LRTI,X100E,Pneumonia
LRTI,X100f,Mononuclear interstitial pneumonia
LRTI,X100g,Herpes simplex pneumonia
LRTI,X100g,Herpes simplex pneumonia
LRTI,X100G,Atypical pneumonia
LRTI,X100G,Atypical pneumonia
LRTI,X100h,Giant cell pneumonia
LRTI,X100h,Giant cell pneumonia
LRTI,X100H,Bacterial pneumonia
LRTI,X100H,Bacterial pneumonia
LRTI,X100j,Chronic bronchial sepsis
LRTI,X100j,Chronic bronchial sepsis
LRTI,X100J,Pneumococcal pneumonia
LRTI,X100J,Pneumococcal pneumonia
LRTI,X100K,Pneumonic plague
LRTI,X100K,Pneumonic plague
LRTI,X100L,Meningococcal pneumonia
LRTI,X100L,Meningococcal pneumonia
LRTI,X100M,Bronchopneumonia
LRTI,X100N,Chlamydial pneumonia
LRTI,X100N,Chlamydial pneumonia
LRTI,X100O,Neonatal chlamydial pneumonia
LRTI,X100O,Neonatal chlamydial pneumonia
LRTI,X100R,Fungal pneumonia
LRTI,X100R,Fungal pneumonia
LRTI,X100S,Pulmonary mucormycosis
LRTI,X100S,Pulmonary mucormycosis
LRTI,X100V,Chronic pulmonary coccidioidomycosis
LRTI,X100V,Chronic pulmonary coccidioidomycosis
LRTI,X100W,Pulmonary blastomycosis
LRTI,X100W,Pulmonary blastomycosis
LRTI,X100X,Haemorrhagic pneumonia
LRTI,X100Y,Mycobacterial pneumonia
LRTI,X100Y,Mycobacterial pneumonia
LRTI,X101i,"Chron obstruct pulmonary dis wth acute exacerbation, unspec"
LRTI,X101j,Occupational chronic bronchitis
LRTI,X101K,Tuberculous chylothorax
LRTI,X1038,Lupus pneumonia
LRTI,X104j,Tuberculous bronchopleural fistula
LRTI,X104j,Tuberculous bronchopleural fistula
LRTI,X104k,Bronchial sepsis
LRTI,X104k,Bronchial sepsis
LRTI,X104U,Tracheal sepsis
LRTI,X104U,Tracheal sepsis
LRTI,X70I8,Bordetella infection
LRTI,X70Ra,Chronic pulmonary African histoplasmosis
LRTI,X70Ra,Chronic pulmonary African histoplasmosis
LRTI,X70Rg,Chronic pulmonary blastomycosis
LRTI,X70Rg,Chronic pulmonary blastomycosis
LRTI,X70RK,Acute pulmonary histoplasmosis capsulati
LRTI,X70RK,Acute pulmonary histoplasmosis capsulati
LRTI,X70RL,Chronic pulmonary histoplasmosis capsulati
LRTI,X70RL,Chronic pulmonary histoplasmosis capsulati
LRTI,X70RZ,Acute pulmonary African histoplasmosis
LRTI,X70RZ,Acute pulmonary African histoplasmosis
LRTI,X70Ua,Capillaria aerophila chest infection
LRTI,X70Ua,Capillaria aerophila chest infection
LRTI,Xa0Aa,Congenital rubella pneumonitis
LRTI,Xa0B7,Congenital viral pneumonia
LRTI,Xa0B8,Congenital bacterial pneumonia
LRTI,Xa0lY,Lobar pneumonia
LRTI,Xa0lZ,Asthmatic bronchitis
LRTI,Xa0Y7,Non-tuberculous mycobacterial pneumonia
LRTI,Xa0Y7,Non-tuberculous mycobacterial pneumonia
LRTI,Xa35l,Acute infective exacerbation chronic obstruct airway disease
LRTI,Xa7nL,Basal pneumonia
LRTI,Xa7nM,Left lower zone pneumonia
LRTI,Xa7nN,Right lower zone pneumonia
LRTI,Xa7nP,Left upper zone pneumonia
LRTI,Xa7nT,Right middle zone pneumonia
LRTI,Xa7nU,Right upper zone pneumonia
LRTI,Xa7u5,Lung consolidation
LRTI,Xa7u5,Lung consolidation
LRTI,Xa97Y,Tuberculosis of trachea
LRTI,Xa97Z,Pulmonary mycobacterium avium-intracellulare infection
LRTI,Xa97Z,Pulmonary mycobacterium avium-intracellulare infection
LRTI,Xaa7C,Eosinophilic bronchitis
LRTI,XaBE9,Basal pneumonia due to unspecified organism
LRTI,XaBE9,Basal pneumonia due to unspecified organism
LRTI,XaBfJ,Secondary bacterial pneumonia
LRTI,XaBfJ,Secondary bacterial pneumonia
LRTI,XaBM8,Recurrent chest infection
LRTI,XaBM8,Recurrent chest infection
LRTI,XaDcD,Bacterial lower respiratory infection
LRTI,XaDcV,Viral lower respiratory infection
LRTI,XaDcV,Viral lower respiratory infection
LRTI,XaDsa,Infective pneumonia
LRTI,XaDsa,Infective pneumonia
LRTI,XaDsb,Congenital infective pneumonia
LRTI,XaDtB,Acute infective bronchitis
LRTI,XaDtB,Acute infective bronchitis
LRTI,XaDth,Acute infective tracheobronchitis
LRTI,XaDth,Acute infective tracheobronchitis
LRTI,XaDtl,Legionnaire's disease
LRTI,XaDtl,Legionnaire's disease
LRTI,XaDtP,Bronchitis
LRTI,XaeVN,Influenza with pneumonia due to seasonal influenza virus
LRTI,XaeVO,Pneumonia due to Gram negative bacteria
