cat2,read_term,read_code
angioedema or urticaria,Familial cold urticaria,X508T
angioedema or urticaria,Cold reflex urticaria,X508U
angioedema or urticaria,Delayed cold sensitivity,X508V
angioedema or urticaria,Persisting cholinergic urticaria,X508W
angioedema or urticaria,Cholinergic pruritus,X508X
angioedema or urticaria,Reflex urticaria,X508Z
angioedema or urticaria,Aquagenic urticaria,X508b
angioedema or urticaria,Aquagenic pruritus,X508c
angioedema or urticaria,Immune complex urticaria,X508e
angioedema or urticaria,Exercise anaphylaxis,X70w7
angioedema or urticaria,Minimal urticarial dose,XC0si
angioedema or urticaria,(Urticaria NOS) or (hives) or (pachydermia),XE1D0
angioedema or urticaria,(Angioneurotic oedema) or (urticaria),XE1tH
angioedema or urticaria,Dermographism,XE2aJ
angioedema or urticaria,Acute idiopathic urticaria,Xa8EW
angioedema or urticaria,Chronic idiopathic urticaria,Xa8EX
angioedema or urticaria,Idiopathic micropapular urticaria,Xa8EY
angioedema or urticaria,Idiopathic cold urticaria,Xa8Ea
angioedema or urticaria,Cold urticaria with agglutinins,Xa8Eb
angioedema or urticaria,Cold urticaria with cryoglobulins,Xa8Ec
angioedema or urticaria,Bullous urticaria,Xa8Ef
angioedema or urticaria,Arthus reaction,Xa8Eg
angioedema or urticaria,Urticarial transfusion reaction,Xa9DQ
conjunctivitis,Acute atopic conjunctivitis,F4C06
conjunctivitis,Vernal conjunctivitis,F4C13
conjunctivitis,Vernal conjunctivitis,F4A31
conjunctivitis,Other chronic allergic conjunctivitis,F4C14
conjunctivitis,Other chronic allergic conjunctivitis,XE16b
conjunctivitis,Chronic conjunctivitis NOS,F4C1z
conjunctivitis,Chronic conjunctivitis,F4C1.
conjunctivitis,Unspecified chronic conjunctivitis,F4C10
conjunctivitis,Simple chronic conjunctivitis,F4C11
conjunctivitis,Chronic follicular conjunctivitis,F4C12
conjunctivitis,Atopic conjunctivitis,X00Zi
conjunctivitis,Seasonal allergic conjunctivitis,X00Zj
conjunctivitis,Perennial allergic conjunctivitis,X00Zk
conjunctivitis,Giant papillary conjunctivitis,X00Zl
conjunctivitis,Contact lens related giant papillary conjunctivitis,XaF7u
drug allergy,H/O: drug allergy,14L..
drug allergy,H/O: penicillin allergy,14L1.
drug allergy,H/O: antibiotic allergy NOS,14L2.
drug allergy,H/O: anaesthetic allergy,14L3.
drug allergy,H/O: analgesic allergy,14L4.
drug allergy,H/O: vaccine allergy,14L5.
drug allergy,H/O: serum allergy,14L6.
drug allergy,H/O: cephalosporin allergy,14L7.
drug allergy,H/O: tetracycline allergy,14L8.
drug allergy,H/O: gentamicin allergy,14L9.
drug allergy,H/O: erythromycin allergy,14LA.
drug allergy,H/O: neomycin allergy,14LB.
drug allergy,H/O: chloramphenicol allergy,14LC.
drug allergy,H/O: sulphonamide allergy,14LD.
drug allergy,H/O: trimethoprim allergy,14LE.
drug allergy,H/O: co-trimoxazole allergy,14LF.
drug allergy,H/O: metronidazole allergy,14LG.
drug allergy,H/O: nalidixic acid allergy,14LH.
drug allergy,H/O: nitrofurantoin allergy,14LI.
drug allergy,H/O: influenza vaccine allergy,14LJ.
drug allergy,H/O: influenza vaccine allergy,XaIAA
drug allergy,H/O: aspirin allergy,14LK.
drug allergy,H/O: aspirin allergy,XaIpk
drug allergy,H/O: betablocker allergy,14LL.
drug allergy,H/O: betablocker allergy,XaJ5x
drug allergy,H/O: angiotensin converting enzyme inhibitor allergy,14LM.
drug allergy,H/O: angiotensin converting enzyme inhibitor allergy,XaJ5y
drug allergy,H/O: angiotensin II receptor antagonist allergy,14LN.
drug allergy,H/O: angiotensin II receptor antagonist allergy,XaJ5z
drug allergy,H/O: warfarin allergy,14LP.
drug allergy,H/O: warfarin allergy,XaJ60
drug allergy,H/O: clopidogrel allergy,14LQ.
drug allergy,H/O: clopidogrel allergy,XaJ3e
drug allergy,H/O: pneumococcal vaccine allergy,14LR.
drug allergy,H/O: pneumococcal vaccine allergy,XaKFa
drug allergy,H/O: combined calcium and vitamin D3 preparation allergy,14LS.
drug allergy,H/O: combined calcium and vitamin D3 preparation allergy,XaKap
drug allergy,H/O: selective oestrogen receptor modulator allergy,14LV.
drug allergy,H/O: selective oestrogen receptor modulator allergy,XaKas
drug allergy,H/O: strontium ranelate allergy,14LW.
drug allergy,H/O: strontium ranelate allergy,XaKat
drug allergy,H/O: dipyridamole allergy,14LX.
drug allergy,H/O: dipyridamole allergy,XaLHt
drug allergy,H/O: drug allergy NOS,14LZ.
drug allergy,Allergy drug side effect,66G4.
drug allergy,Drug hypersensitivity NOS,SN52.
drug allergy,Drug hypersensitivity NOS,XE1os
drug allergy,[V]Personal history of drug allergy,ZV14.
drug allergy,[V]Personal history of penicillin allergy,ZV140
drug allergy,[V]Personal history of other antibiotic allergy,ZV141
drug allergy,[V]Personal history of sulphonamide allergy,ZV142
drug allergy,[V]Personal history of other anti-infective agent allergy,ZV143
drug allergy,[V]Personal history of anaesthetic agent allergy,ZV144
drug allergy,[V]Personal history of narcotic agent allergy,ZV145
drug allergy,[V]Personal history of analgesic agent allergy,ZV146
drug allergy,[V]Personal history of serum or vaccine allergy,ZV147
drug allergy,[V]Personal history of aspirin allergy,ZV148
drug allergy,[V]Personal history of aspirin allergy,XaDzd
drug allergy,[V]Personal history of co-proxamol allergy,ZV149
drug allergy,[V]Personal history of co-proxamol allergy,XaDze
drug allergy,[V]Personal history of warfarin allergy,ZV14A
drug allergy,[V]Personal history of warfarin allergy,XaJ8B
drug allergy,[V]Personal history of clopidogrel allergy,ZV14B
drug allergy,[V]Personal history of clopidogrel allergy,XaJ8V
drug allergy,[V]Personal history of betablocker allergy,ZV14C
drug allergy,[V]Personal history of betablocker allergy,XaJ8U
drug allergy,[V]Personal history of angiotensin-converting-enzyme inhibitor allergy,ZV14D
drug allergy,[V]Personal history of angiotensin II receptor antagonist allergy,ZV14E
drug allergy,[V]Personal history of influenza vaccine allergy,ZV14F
drug allergy,[V]Personal history of influenza vaccine allergy,XaJ8X
drug allergy,[V]Personal history of pneumococcal vaccine allergy,ZV14G
drug allergy,[V]Personal history of pneumococcal vaccine allergy,XaKJr
drug allergy,[V]Personal history of strontium ranelate allergy,ZV14H
drug allergy,[V]Personal history of strontium ranelate allergy,XaKdj
drug allergy,[V]Personal history of selective oestrogen receptor modulator allergy,ZV14J
drug allergy,[V]Personal history of bisphosphonate allergy,ZV14K
drug allergy,[V]Personal history of bisphosphonate allergy,XaKdW
drug allergy,[V]Personal history of calcium allergy,ZV14L
drug allergy,[V]Personal history of calcium allergy,XaKdX
drug allergy,[V]Personal history of vitamin D3 allergy,ZV14M
drug allergy,[V]Personal history of vitamin D3 allergy,XaKdY
drug allergy,[V]Personal history of other specified drug allergy,ZV14y
drug allergy,[V]Personal history of unspecified drug allergy,ZV14z
drug allergy,Drug hypersensitivity (& [NOS]),XE1tJ
drug allergy,Allergic reaction to drug,Xa1pS
drug allergy,Allergy to over-the-counter drug,Xa5dk
drug allergy,Analgesics and non-steroidal anti-inflammatory drug allergy,Xa5dl
drug allergy,Analgesic allergy,Xa5dm
drug allergy,Non-opioid analgesic allergy,Xa5dn
drug allergy,Paracetamol allergy,Xa5do
drug allergy,Salicylate allergy,Xa5dp
drug allergy,Aspirin allergy,Xa5dq
drug allergy,Opioid analgesic allergy,Xa5dr
drug allergy,Pentazocine allergy,Xa5ds
drug allergy,Phenazocine allergy,Xa5dt
drug allergy,Methadone analogue allergy,Xa5du
drug allergy,Dextromoramide allergy,Xa5dv
drug allergy,Dextropropoxyphene allergy,Xa5dw
drug allergy,Dipipanone allergy,Xa5dx
drug allergy,Methadone allergy,Xa5dy
drug allergy,Morphinan opioid allergy,Xa5dz
drug allergy,Buprenorphine allergy,Xa5e0
drug allergy,Codeine allergy,Xa5e1
drug allergy,Diamorphine allergy,Xa5e2
drug allergy,Dihydrocodeine allergy,Xa5e3
drug allergy,Nalbuphine allergy,Xa5e4
drug allergy,Morphine allergy,Xa5e5
drug allergy,Opium alkaloid allergy,Xa5e6
drug allergy,Pethidine analogue allergy,Xa5e7
drug allergy,Alfentanil allergy,Xa5e8
drug allergy,Fentanyl allergy,Xa5e9
drug allergy,Pethidine allergy,Xa5eA
drug allergy,Phenoperidine allergy,Xa5eB
drug allergy,Meptazinol allergy,Xa5eC
drug allergy,Levorphanol allergy,Xa5eD
drug allergy,Non-steroidal anti-inflammatory drug allergy,Xa5eE
drug allergy,Acemetacin allergy,Xa5eF
drug allergy,Azapropazone allergy,Xa5eG
drug allergy,Diclofenac allergy,Xa5eH
drug allergy,Etodolac allergy,Xa5eI
drug allergy,Felbinac allergy,Xa5eJ
drug allergy,Fenbufen allergy,Xa5eK
drug allergy,Fenoprofen allergy,Xa5eL
drug allergy,Flurbiprofen allergy,Xa5eM
drug allergy,Ibuprofen allergy,Xa5eN
drug allergy,Indometacin allergy,Xa5eO
drug allergy,Ketoprofen allergy,Xa5eP
drug allergy,Ketorolac allergy,Xa5eQ
drug allergy,Mefenamic acid allergy,Xa5eR
drug allergy,Nabumetone allergy,Xa5eS
drug allergy,Naproxen allergy,Xa5eT
drug allergy,Nefopam allergy,Xa5eU
drug allergy,Oxyphenbutazone allergy,Xa5eV
drug allergy,Phenylbutazone allergy,Xa5eW
drug allergy,Piroxicam allergy,Xa5eX
drug allergy,Sulindac allergy,Xa5eY
drug allergy,Tenoxicam allergy,Xa5eZ
drug allergy,Tiaprofenic acid allergy,Xa5ea
drug allergy,Tolmetin allergy,Xa5eb
drug allergy,Diagnostic agent allergy,Xa5ec
drug allergy,Tuberculin allergy,Xa5ed
drug allergy,Radiopharmaceutical allergy,Xa5ee
drug allergy,Contrast media allergy,Xa5ef
drug allergy,X-ray contrast media allergy,Xa5eg
drug allergy,Magnetic resonance imaging contrast media allergy,Xa5eh
drug allergy,Allergen extract vaccine allergy,Xa5ei
drug allergy,Diagnostic dye allergy,Xa5ej
drug allergy,Drug groups primarily affecting gastrointestin syst allergy,Xa5ek
drug allergy,Ulcer healing drug allergy,Xa5el
drug allergy,Bismuth chelate allergy,Xa5em
drug allergy,Sucralfate allergy,Xa5en
drug allergy,Liquorice allergy,Xa5eo
drug allergy,Misoprostol allergy,Xa5ep
drug allergy,H2 receptor antagonist allergy,Xa5eq
drug allergy,Cimetidine allergy,Xa5er
drug allergy,Famotidine allergy,Xa5es
drug allergy,Nizatidine allergy,Xa5et
drug allergy,Ranitidine allergy,Xa5eu
drug allergy,Proton pump inhibitor allergy,Xa5ev
drug allergy,Omeprazole allergy,Xa5ew
drug allergy,Lansoprazole allergy,Xa5ex
drug allergy,Carbenoxolone allergy,Xa5ey
drug allergy,Pirenzepine allergy,Xa5ez
drug allergy,Pancreatin allergy,Xa5f0
drug allergy,5-aminosalicylic acid allergy,Xa5f1
drug allergy,Mesalazine allergy,Xa5f2
drug allergy,Olsalazine allergy,Xa5f3
drug allergy,Sulfasalazine allergy,Xa5f4
drug allergy,Antacid allergy,Xa5f5
drug allergy,Magnesium trisilicate allergy,Xa5f6
drug allergy,Aluminium hydroxide allergy,Xa5f7
drug allergy,Antidiarrhoeal drug allergy,Xa5f8
drug allergy,Loperamide allergy,Xa5f9
drug allergy,Kaolin allergy,Xa5fA
drug allergy,Motility stimulant allergy,Xa5fB
drug allergy,Cisapride allergy,Xa5fC
drug allergy,Antiemetic allergy,Xa5fD
drug allergy,Nabilone allergy,Xa5fE
drug allergy,Domperidone allergy,Xa5fF
drug allergy,Metoclopramide allergy,Xa5fG
drug allergy,5-HT3-receptor antagonist allergy,Xa5fH
drug allergy,Laxative allergy,Xa5fI
drug allergy,Bisacodyl allergy,Xa5fJ
drug allergy,Dantron allergy,Xa5fK
drug allergy,Sodium picosulfate allergy,Xa5fL
drug allergy,Lactulose allergy,Xa5fM
drug allergy,Magnesium sulphate allergy,Xa5fN
drug allergy,Bulk-forming laxative allergy,Xa5fO
drug allergy,Anthraquinone laxative allergy,Xa5fP
drug allergy,Cascara allergy,Xa5fQ
drug allergy,Senna allergy,Xa5fR
drug allergy,Docusate allergy,Xa5fS
drug allergy,Antispasmodic allergy,Xa5fT
drug allergy,Hyoscine butylbromide allergy,Xa5fU
drug allergy,Peppermint oil allergy,Xa5fV
drug allergy,Alverine allergy,Xa5fW
drug allergy,Mebeverine allergy,Xa5fX
drug allergy,Dicycloverine allergy,Xa5fY
drug allergy,Mepenzolate allergy,Xa5fZ
drug allergy,Pipenzolate allergy,Xa5fa
drug allergy,Poldine allergy,Xa5fb
drug allergy,Propantheline allergy,Xa5fc
drug allergy,Bile agent allergy,Xa5fd
drug allergy,Chenodeoxycholic acid allergy,Xa5fe
drug allergy,Dehydrocholic acid allergy,Xa5ff
drug allergy,Ursodeoxycholic acid allergy,Xa5fg
drug allergy,Chenodeoxycholic and ursodeoxycholic acid allergy,Xa5fh
drug allergy,Anaesthetics and medical gases allergy,Xa5fi
drug allergy,General anaesthetic drug allergy,Xa5fj
drug allergy,Intravenous anaesthetics allergy,Xa5fk
drug allergy,Etomidate allergy,Xa5fl
drug allergy,Ketamine allergy,Xa5fm
drug allergy,Propofol allergy,Xa5fn
drug allergy,Thiopental allergy,Xa5fo
drug allergy,Methohexitone allergy,Xa5fp
drug allergy,Inhalational anaesthetics allergy,Xa5fq
drug allergy,Enflurane allergy,Xa5fr
drug allergy,"Ether, anaesthetic allergy",Xa5fs
drug allergy,Halothane allergy,Xa5ft
drug allergy,Isoflurane allergy,Xa5fu
drug allergy,Trichloroethylene allergy,Xa5fv
drug allergy,Desflurane allergy,Xa5fw
drug allergy,Local anaesthetic drug allergy,Xa5fx
drug allergy,Bupivacaine allergy,Xa5fy
drug allergy,Cinchocaine allergy,Xa5fz
drug allergy,Prilocaine allergy,Xa5g0
drug allergy,Lidocaine allergy,Xa5g1
drug allergy,Cocaine allergy,Xa5g2
drug allergy,Benzocaine allergy,Xa5g3
drug allergy,Tetracaine allergy,Xa5g4
drug allergy,Oxybuprocaine allergy,Xa5g5
drug allergy,Procaine allergy,Xa5g6
drug allergy,Proxymetacaine allergy,Xa5g7
drug allergy,Antineoplastic/immunosuppressant/immunostimulant allergy,Xa5g8
drug allergy,Immunostimulant allergy,Xa5g9
drug allergy,Amifostine allergy,Xa5gA
drug allergy,Aldesleukin allergy,Xa5gB
drug allergy,Colony stimulating factors allergy,Xa5gC
drug allergy,Molgramostim allergy,Xa5gD
drug allergy,Lenograstim allergy,Xa5gE
drug allergy,Filgrastim allergy,Xa5gF
drug allergy,Levamisole allergy,Xa5gG
drug allergy,Antineoplastic allergy,Xa5gH
drug allergy,Alkylating drug allergy,Xa5gI
drug allergy,Mitobronitol allergy,Xa5gJ
drug allergy,Busulfan allergy,Xa5gK
drug allergy,Treosulfan allergy,Xa5gL
drug allergy,Thiotepa allergy,Xa5gM
drug allergy,Nitrogen mustard derivative allergy,Xa5gN
drug allergy,Chlorambucil allergy,Xa5gO
drug allergy,Cyclophosphamide allergy,Xa5gP
drug allergy,Ethoglucid allergy,Xa5gQ
drug allergy,Ifosfamide allergy,Xa5gR
drug allergy,Melphalan allergy,Xa5gS
drug allergy,Estramustine allergy,Xa5gT
drug allergy,Chlormethine allergy,Xa5gU
drug allergy,Nitrosurea allergy,Xa5gV
drug allergy,Carmustine allergy,Xa5gW
drug allergy,Lomustine allergy,Xa5gX
drug allergy,Triazene antineoplastic allergy,Xa5gY
drug allergy,Dacarbazine allergy,Xa5gZ
drug allergy,Cytotoxic antibiotic allergy,Xa5ga
drug allergy,Dactinomycin allergy,Xa5gb
drug allergy,Bleomycin allergy,Xa5gc
drug allergy,Mitomycin allergy,Xa5gd
drug allergy,Plicamycin allergy,Xa5ge
drug allergy,Aclarubicin allergy,Xa5gf
drug allergy,Mitoxantrone allergy,Xa5gg
drug allergy,Doxorubicin allergy,Xa5gh
drug allergy,Epirubicin allergy,Xa5gi
drug allergy,Idarubicin allergy,Xa5gj
drug allergy,Antimetabolite allergy,Xa5gk
drug allergy,Mercuric oxide allergy,Xa5gl
drug allergy,Methotrexate allergy,Xa5gm
drug allergy,Mercaptopurine allergy,Xa5gn
drug allergy,Tioguanine allergy,Xa5go
drug allergy,Pentostatin allergy,Xa5gp
drug allergy,Cytarabine allergy,Xa5gq
drug allergy,Fluorouracil allergy,Xa5gr
drug allergy,Etoposide allergy,Xa5gs
drug allergy,Amsacrine allergy,Xa5gt
drug allergy,Carboplatin allergy,Xa5gu
drug allergy,Cisplatin allergy,Xa5gv
drug allergy,Hydroxycarbamide allergy,Xa5gw
drug allergy,Procarbazine allergy,Xa5gx
drug allergy,Razoxane allergy,Xa5gy
drug allergy,Crisantaspase allergy,Xa5gz
drug allergy,Paclitaxel allergy,Xa5h0
drug allergy,Fludarabine allergy,Xa5h1
drug allergy,Aminoglutethimide allergy,Xa5h2
drug allergy,Oestrogen antagonist allergy,Xa5h3
drug allergy,Trilostane allergy,Xa5h4
drug allergy,Tamoxifen allergy,Xa5h5
drug allergy,Formestane allergy,Xa5h6
drug allergy,Vinca alkaloid allergy,Xa5h7
drug allergy,Vinblastine allergy,Xa5h8
drug allergy,Vincristine allergy,Xa5h9
drug allergy,Vindesine allergy,Xa5hA
drug allergy,Dimethyl sulfoxide allergy,Xa5hB
drug allergy,Immunosuppressant allergy,Xa5hC
drug allergy,Ciclosporin allergy,Xa5hD
drug allergy,Azathioprine allergy,Xa5hE
drug allergy,Drug groups primarily affect central nervous system allergy,Xa5hF
drug allergy,Centrally acting appetite suppressant allergy,Xa5hG
drug allergy,Mazindol allergy,Xa5hH
drug allergy,Phentermine allergy,Xa5hI
drug allergy,Dexfenfluramine allergy,Xa5hJ
drug allergy,Diethylpropion allergy,Xa5hK
drug allergy,Fenfluramine allergy,Xa5hL
drug allergy,Dopaminergic drug used in parkinsonism allergy,Xa5hM
drug allergy,Levodopa allergy,Xa5hN
drug allergy,Co-beneldopa allergy,Xa5hO
drug allergy,Co-careldopa allergy,Xa5hP
drug allergy,Amantadine allergy,Xa5hQ
drug allergy,Apomorphine allergy,Xa5hR
drug allergy,Lisuride allergy,Xa5hS
drug allergy,Pergolide allergy,Xa5hT
drug allergy,Bromocriptine allergy,Xa5hU
drug allergy,Antidepressant drug allergy,Xa5hV
drug allergy,Lithium allergy,Xa5hW
drug allergy,Lithium carbonate allergy,Xa5hX
drug allergy,Lithium citrate allergy,Xa5hY
drug allergy,Tricyclic antidepressant drug allergy,Xa5hZ
drug allergy,Butriptyline allergy,Xa5ha
drug allergy,Doxepin allergy,Xa5hb
drug allergy,Iprindole allergy,Xa5hc
drug allergy,Lofepramine allergy,Xa5hd
drug allergy,Nortriptyline allergy,Xa5he
drug allergy,Trimipramine allergy,Xa5hf
drug allergy,Amoxapine allergy,Xa5hg
drug allergy,Amitriptyline allergy,Xa5hh
drug allergy,Clomipramine allergy,Xa5hi
drug allergy,Desipramine allergy,Xa5hj
drug allergy,Dosulepin allergy,Xa5hk
drug allergy,Imipramine allergy,Xa5hl
drug allergy,Protriptyline allergy,Xa5hm
drug allergy,Monoamine oxidase inhibitor allergy,Xa5hn
drug allergy,Phenelzine allergy,Xa5ho
drug allergy,Iproniazid allergy,Xa5hp
drug allergy,Isocarboxazid allergy,Xa5hq
drug allergy,Tranylcypromine allergy,Xa5hr
drug allergy,Moclobemide allergy,Xa5hs
drug allergy,Compound antidepressants allergy,Xa5ht
drug allergy,Tryptophan allergy,Xa5hu
drug allergy,Venlafaxine allergy,Xa5hv
drug allergy,Selective serotonin re-uptake inhibitor allergy,Xa5hw
drug allergy,Sertraline allergy,Xa5hx
drug allergy,Paroxetine allergy,Xa5hy
drug allergy,Nefazodone allergy,Xa5hz
drug allergy,Citalopram allergy,Xa5i0
drug allergy,Fluoxetine allergy,Xa5i1
drug allergy,Fluvoxamine allergy,Xa5i2
drug allergy,Tetracyclic antidepressant drug allergy,Xa5i3
drug allergy,Maprotiline allergy,Xa5i4
drug allergy,Mianserin allergy,Xa5i5
drug allergy,Trazodone allergy,Xa5i6
drug allergy,Viloxazine allergy,Xa5i7
drug allergy,Antiepileptic allergy,Xa5i8
drug allergy,Beclamide allergy,Xa5i9
drug allergy,Lamotrigine allergy,Xa5iA
drug allergy,Piracetam allergy,Xa5iB
drug allergy,Gabapentin allergy,Xa5iC
drug allergy,Sodium valproate allergy,Xa5iD
drug allergy,Barbiturate antiepileptic allergy,Xa5iE
drug allergy,Methylphenobarbital allergy,Xa5iF
drug allergy,Phenobarbital allergy,Xa5iG
drug allergy,Primidone allergy,Xa5iH
drug allergy,Carbamazepine allergy,Xa5iI
drug allergy,Vigabatrin allergy,Xa5iJ
drug allergy,Phenytoin allergy,Xa5iK
drug allergy,Ethosuximide allergy,Xa5iL
drug allergy,Clonazepam allergy,Xa5iM
drug allergy,Sedative/neuroleptic allergy,Xa5iN
drug allergy,Sedative allergy,Xa5iO
drug allergy,Zopiclone allergy,Xa5iP
drug allergy,Zolpidem allergy,Xa5iQ
drug allergy,Chlormezanone allergy,Xa5iR
drug allergy,Methyprylone allergy,Xa5iS
drug allergy,Paraldehyde allergy,Xa5iT
drug allergy,Barbiturate sedative allergy,Xa5iU
drug allergy,Amobarbital allergy,Xa5iV
drug allergy,Butobarbital allergy,Xa5iW
drug allergy,Cyclobarbitone allergy,Xa5iX
drug allergy,Amobarbital sodium allergy,Xa5iY
drug allergy,Secobarbital allergy,Xa5iZ
drug allergy,Benzodiazepine sedative allergy,Xa5ia
drug allergy,Flunitrazepam allergy,Xa5ib
drug allergy,Flurazepam allergy,Xa5ic
drug allergy,Loprazolam allergy,Xa5id
drug allergy,Lormetazepam allergy,Xa5ie
drug allergy,Nitrazepam allergy,Xa5if
drug allergy,Triazolam allergy,Xa5ig
drug allergy,Alprazolam allergy,Xa5ih
drug allergy,Bromazepam allergy,Xa5ii
drug allergy,Chlordiazepoxide allergy,Xa5ij
drug allergy,Clobazam allergy,Xa5ik
drug allergy,Dipotassium clorazepate allergy,Xa5il
drug allergy,Ketazolam allergy,Xa5im
drug allergy,Medazepam allergy,Xa5in
drug allergy,Oxazepam allergy,Xa5io
drug allergy,Prazepam allergy,Xa5ip
drug allergy,Midazolam allergy,Xa5iq
drug allergy,Diazepam allergy,Xa5ir
