code,term
da7K.,VENLAFAXINE 150mg m/r tablets
da7L.,TARDCAPS XL 75mg m/r capsules
da7M.,TARDCAPS XL 150mg m/r capsules
da7N.,VIEPAX 37.5mg tablets
da7O.,VIEPAX 75mg tablets
da7P.,VENSIR XL 75mg m/r capsules
da7Q.,VENSIR XL 150mg m/r capsules
da7R.,TIFAXIN XL 75mg m/r capsules
da7S.,TIFAXIN XL 150mg m/r capsules
da7T.,VEXARIN XL 75mg m/r capsules
da7U.,VEXARIN XL 150mg m/r capsules
da7V.,VENLALIC XL 75mg m/r tablets
da7W.,VENLALIC XL 150mg m/r tablets
da7X.,VENLALIC XL 225mg m/r tablets
da7Y.,VENLAFAXINE 225mg m/r tablets
da7Z.,VENAXX XL 75mg m/r capsules
da7a.,VENAXX XL 150mg m/r capsules
da7b.,VAXALIN XL 75mg m/r capsules
da7c.,VAXALIN XL 150mg m/r capsules
da7d.,ALVENTA XL 75mg m/r capsules
da7e.,ALVENTA XL 150mg m/r capsules
da7g.,RANFAXINE XL 75mg m/r capsules
da7h.,BONILUX XL 75mg m/r capsules
da7i.,BONILUX XL 150mg m/r capsules
da7j.,TONPULAR XL 75mg m/r capsules
da7k.,TONPULAR XL 150mg m/r capsules
da7l.,FORAVEN XL 75mg m/r capsules
da7m.,FORAVEN XL 150mg m/r capsules
da7n.,DEPEFEX XL 75mg m/r capsules
da7o.,DEPEFEX XL 150mg m/r capsules
da7p.,VENLALIC XL 37.5mg m/r tablets
da7q.,VENLAFAXINE 37.5mg m/r tablets
da7r.,SUNVENIZ XL 75mg m/r tablets
da7s.,SUNVENIZ XL 150mg m/r tablets
da7t.,VENLADEX XL 75mg m/r tablets
da7u.,VENLADEX XL 150mg m/r tablets
da7v.,EFEXOR XL 225mg m/r capsules
da7w.,VENLAFAXINE 225mg m/r capsules
da9..,Citalopram
da91.,Citalopram 20mg tablet
da92.,Cipramil 20mg tablet
da93.,Citalopram 10mg tablet
da94.,Cipramil 10mg tablet
da95.,Citalopram 40mg tablet
da96.,Cipramil 40mg tablet
da97.,Cipramil 40mg/mL oral drops 15mL
da98.,Paxoran 10mg tablet
da99.,Paxoran 20mg tablet
da9A.,Paxoran 40mg tablet
da9z.,Citalopram 40mg/mL oral drops
daA..,Reboxetine
daA1.,Reboxetine 4mg tablet
daA2.,Edronax 4mg tablet
daB..,Mirtazapine
daB1.,Mirtazapine 30mg tablet
daB2.,Zispin 30mg tablet
daB3.,Mirtazapine 30mg oro-dispersible tablet
daB4.,Zispin SolTab 30mg oro-dispersible tablet
daB5.,Mirtazapine 15mg oro-dispersible tablet
daB6.,Zispin SolTab 15mg oro-dispersible tablet
daB7.,Mirtazapine 45mg oro-dispersible tablet
daB8.,Zispin SolTab 45mg oro-dispersible tablet
daBy.,Mirtazapine 45mg tablet
daBz.,Mirtazapine 15mg tablet
daC..,Escitalopram
daC1.,Escitalopram 10mg tablet
daC2.,Cipralex 10mg tablet
daC3.,Escitalopram 20mg tablet
daC4.,Cipralex 20mg tablet
daC5.,Escitalopram 5mg tablet
daC6.,Cipralex 5mg tablet
daC7.,ESCITALOPRAM 10mg/mL oral drops
daC8.,CIPRALEX 10mg/mL oral drops
daC9.,CIPRALEX 20mg/mL oral drops
daCA.,ESCITALOPRAM 20mg/mL oral drops
daD..,AGOMELATINE
daD1.,VALDOXAN 25mg tablets
daD2.,AGOMELATINE 25mg tablets
gde3.,Cymbalta 30mg gastro-resistant capsule
gde4.,Cymbalta 60mg gastro-resistant capsule
gdew.,Duloxetine 60mg gastro-resistant capsule
gdex.,Duloxetine 30mg gastro-resistant capsule
x00E4,Molipaxin 50mg capsule
x00E5,Molipaxin 100mg capsule
x00E9,Sinequan 10mg capsule
x00EA,Sinequan 25mg capsule
x00EB,Sinequan 50mg capsule
x00EC,Sinequan 75mg capsule
x00ED,Surmontil 50mg capsule
x00fa,Molipaxin 150mg tablet
x00fb,Molipaxin CR 150mg tablet
x00fz,Seroxat 20mg tablet
x00g0,Seroxat 30mg tablet
x01Ar,Fluoxetine
x01As,Fluvoxamine
x01Av,Mianserin
x01Aw,Amitriptyline
x01Ax,Clomipramine
x01Az,Dosulepin
x01B0,Imipramine
x01B2,Trazodone
x02TH,Allegron
x02Tr,Anafranil
x02Ts,Anafranil SR
x02Vn,Bolvidon
x02XO,Cipramil
x02aM,Domical
x02aS,Dothapax
x02b1,Efexor
x02b4,Elavil
x02c8,Faverin
x02cz,Fluanxol
x02i2,Lustral
x02iD,Manerix
x02iG,Marplan
x02jl,Molipaxin
x02kQ,Nardil
x02lx,Optimax
x02mv,Parnate
x02mx,Parstelin
x02o5,Prepadine
x02oe,Prothiaden
x02oh,Prozac
x02rr,Surmontil
x02tO,Triptafen
x02tP,Triptafen-M
x02tX,Tryptizol
x03h0,Seroxat
x03jc,Lomont
x03nk,Edronax
x03oQ,Efexor XL
x03q9,Zispin
x03sq,Molipaxin CR
x03w4,Sinequan
x042s,Gamanil
x054r,Cipramil 40mg/mL oral drops
x055r,Felicium
x05Cq,Thaden
x05JP,Oxactin
x05ZY,Ranflutin
x05dY,Cipralex
x05pd,Prozit
x05vF,Paxoran
