gprdmedcode,Read/OXMIS term,Read/OXMIS code,Charlson disease category,Charlson score weight
206095,Malignant neoplasm of pharyngeal recess,B072000,Cancer,2
297427,Hodgkin's sarcoma of intrapelvic lymph nodes,B612600,Cancer,2
260767,Mast cell malignancy of lymph nodes of axilla and upper limb,B626400,Cancer,2
274692,CHLOROMA,2022CL,Cancer,2
233282,Malignant neoplasm of carpal bone - hamate,B305700,Cancer,2
215155,Malignant neoplasm of urinary bladder,B49..00,Cancer,2
260712,Malignant neoplasm of myometrium of corpus uteri,B430300,Cancer,2
242383,Follicular lymphoma NOS,B627C11,Cancer,2
206434,"[X]Malignant neoplasm/bone??? cartilage, unspecified",Byu3300,Cancer,2
242281,Malignant neoplasm of gum NOS,B03z.00,Cancer,2
260708,Malignant neoplasm of nipple or areola of female breast NOS,B340z00,Cancer,2
224237,Diffuse non-Hodgkin's centroblastic lymphoma,B627D00,Cancer,2
206137,Malignant neoplasm of skin of auricle (ear),B332000,Cancer,2
201871,MALIGNANT NEOPLASM PANCREAS,1579A,Cancer,2
292883,MALIGNANT LYMPHANGIOMA,1719LM,Cancer,2
237950,HAMARTOMA FOETAL RENAL,1890HM,Cancer,2
279056,Reticulosarcoma of spleen,B600700,Cancer,2
242284,Malignant neoplasm of glossopalatine fold,B062100,Cancer,2
206188,Reticulosarcoma of intra-abdominal lymph nodes,B600300,Cancer,2
237943,MALIGNANT MELANOMA ANUS,1726AN,Cancer,2
237942,RHABDOMYOSARCOMA BUTTOCK,1719RB,Cancer,2
224116,"Malignant neoplasm of upper lip, vermilion border",B000.00,Cancer,2
237937,SARCOMA COLON,1538B,Cancer,2
292212,[V]Personal history of malignant neoplasm of bladder,ZV10511,Cancer,2
224183,Malignant neoplasm of cervix uteri NOS,B41z.00,Cancer,2
303090,CARCINOMA THROAT,149 CT,Cancer,2
279032,Malignant neoplasm of renal pelvis NOS,B4A1z00,Cancer,2
260689,Malignant neoplasm of ulna,B304400,Cancer,2
269905,Malignant neoplasm of other sites of lip,B00y.00,Cancer,2
288140,Malignant neoplasm of tapetum,B51y100,Cancer,2
288428,"[X]Malignant neoplasm of intestinal tract, part unspecified",Byu1200,Cancer,2
303108,PANCOAST TUMOUR,1621D,Cancer,2
206096,Malignant neoplasm of nasopharynx NOS,B07z.00,Cancer,2
242308,Malignant neoplasm of anterior mediastinum,B242.00,Cancer,2
303126,ADENOCARCINOMA PROSTATE,185 CA,Cancer,2
279018,Malignant neoplasm skin other and unspec part of face NOS,B333z00,Cancer,2
288126,Malignant neoplasm of placenta,B42..00,Cancer,2
242338,Teratoma of descended testis,B471100,Cancer,2
288136,Malignant neoplasm of urethra,B4A3.00,Cancer,2
247127,EPULIS,2104EP,Cancer,2
233349,Mast cell malignancy of lymph nodes inguinal region and leg,B626500,Cancer,2
279065,Hodgkin's lymphocytic depletion of unspecified site,B616000,Cancer,2
278966,Malignant neoplasm of major salivary gland NOS,B02z.00,Cancer,2
206131,Malig neopl of connective and soft tissue - sacrum or coccyx,B315300,Cancer,2
242317,Malignant neoplasm of short bones of leg,B308.00,Cancer,2
206211,Acute myelofibrosis,B675.00,Cancer,2
279318,[X]Melanoma and other malignant neoplasms of skin,Byu4.00,Cancer,2
215416,[X]Malignant neoplasm of urinary tract,Byu9.00,Cancer,2
297443,T-zone lymphoma,B62x000,Cancer,2
251485,Malignant neoplasm of ectopic pancreatic tissue,B17y000,Cancer,2
278984,Rectal carcinoma,B141.12,Cancer,2
297335,Malignant neoplasm of descending colon,B132.00,Cancer,2
215135,Malignant neoplasm of skin of lip,B330.00,Cancer,2
251574,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma,B627500,Cancer,2
303114,SQUAMOUS CELL CARCINOMA,1739CS,Cancer,2
247097,MALIGNANT NEOPLASM MAXILLA,1700AM,Cancer,2
270012,Multiple myeloma,B630.00,Cancer,2
242384,Peripheral T-cell lymphoma,B62x200,Cancer,2
297386,Malignant neoplasm of lacrimal gland,B502.00,Cancer,2
206204,Malignant reticulosis,B62x400,Cancer,2
237285,[V]Personal history of malignant neoplasm of bone,ZV10y11,Cancer,2
215115,Malignant neoplasm of carpal bone - scaphoid,B305000,Cancer,2
260670,Malignant neoplasm of stomach,B11..00,Cancer,2
251491,Malignant neoplasm of upper lobe of lung,B222100,Cancer,2
269913,"Malignant neoplasm, overlapping lesion of oesophagus",B106.00,Cancer,2
233584,"[X]Malignant neoplasms of lymphoid, haematopoietic and rela",ByuD.00,Cancer,2
242353,Malignant neoplasm of carotid body,B544.00,Cancer,2
278976,Malignant neoplasm of lateral wall of oropharynx,B066.00,Cancer,2
233339,Other malignant neoplasm of lymphoid and histiocytic tissue,B62..00,Cancer,2
233580,"[X]Malignant neoplasm/peripheral nerves of trunk,unspecified",Byu5400,Cancer,2
242287,Malignant neoplasm of thoracic oesophagus,B101.00,Cancer,2
233577,[X]Other sarcomas of the liver,Byu1000,Cancer,2
292898,URETHRAL MALIGNANT NEOPLASM,1899A,Cancer,2
233360,Aleukaemic monocytic leukaemia,B66y000,Cancer,2
242392,Other leukaemia of unspecified cell type,B68y.00,Cancer,2
260700,Malignant melanoma of upper limb and shoulder,B326.00,Cancer,2
206117,Malignant neoplasm of ethmoid sinus,B203.00,Cancer,2
292211,[V]Personal history of malignant neoplasm of genital organ,ZV10400,Cancer,2
288161,Hodgkin's paragranuloma of intrapelvic lymph nodes,B610600,Cancer,2
251503,Malignant neoplasm of connective and soft tissue of thorax,B313.00,Cancer,2
279009,Kaposi's sarcoma of soft tissue,B31z000,Cancer,2
256314,CHONDROSARCOMA,1709B,Cancer,2
224122,Malignant neoplasm of lateral portion of floor of mouth,B041.00,Cancer,2
274699,ERYTHRAEMIA ACUTE,2072AE,Cancer,2
269991,"Hodgkin's mixed cellularity of lymph nodes head, face, neck",B615100,Cancer,2
201891,NEOPLASM MALIGNANT HODGKIN'S,201 MH,Cancer,2
215091,Malignant neoplasm of body of stomach,B114.00,Cancer,2
233340,Reticulosarcoma - follicular or nodular,B620.11,Cancer,2
233581,[X]Malignant neoplasm overlapping lesion of skin,Byu5A00,Cancer,2
288105,"Carcinoma of bone, connective tissue, skin and breast",B3...11,Cancer,2
233337,"Hodgkin's disease, lymphocytic-histiocytic predominance",B613.00,Cancer,2
233333,Hodgkin's paragranuloma of intrathoracic lymph nodes,B610200,Cancer,2
206158,Malignant neoplasm of trigone of urinary bladder,B490.00,Cancer,2
301593,[V]Personal history of malignant neoplasm of lung,ZV10112,Cancer,2
242349,Malignant neoplasm of spinal meninges NOS,B523z00,Cancer,2
288166,"Hodgkin's disease, mixed cellularity of unspecified site",B615000,Cancer,2
260695,Malignant neoplasm of soft tissue of neck,B310200,Cancer,2
306051,LARYNX CARCINOMA,1619C,Cancer,2
278992,Malignant neoplasm of trachea,B220.00,Cancer,2
242329,Malignant neoplasm of skin of upper limb or shoulder NOS,B336z00,Cancer,2
269931,Malignant neoplasm of cuneiform cartilage,B213200,Cancer,2
251519,Dermatofibrosarcoma protuberans,B339.00,Cancer,2
297340,Malignant neoplasm of retrocaecal tissue,B180200,Cancer,2
247100,LYMPHANGIOSARCOMA,1719,Cancer,2
242390,Chronic eosinophilic leukaemia,B651000,Cancer,2
224186,Malignant neoplasm of fallopian tube,B441.00,Cancer,2
251492,Malignant neoplasm of visceral pleura,B231.00,Cancer,2
278962,"Malignant neoplasm of lip unspecified, frenulum",B004100,Cancer,2
265558,MALIGNANT NEOPLASM PINNA EAR,1959AD,Cancer,2
260693,Malignant neoplasm of second metatarsal bone,B308900,Cancer,2
233299,Malignant neoplasm of skin of lower limb or hip NOS,B337z00,Cancer,2
219898,MALIGNANT NEOPLASM ANTRUM/MAXILLARY SINU,1602A,Cancer,2
206435,"[X]Mesothelioma, unspecified",Byu5100,Cancer,2
242306,Malignant neoplasm of thymus,B240.00,Cancer,2
279081,Malignant lymphoma NOS of lymph node inguinal region and leg,B62y500,Cancer,2
279005,Malignant neoplasm of bone and articular cartilage NOS,B30z.00,Cancer,2
260674,Malignant neoplasm of extrahepatic bile ducts,B161.00,Cancer,2
303150,CARCINOMA,1991C,Cancer,2
224165,Malignant melanoma of ear and external auricular canal NOS,B322z00,Cancer,2
233285,"Malignant neoplasm of connective and soft tissue, upper arm",B311100,Cancer,2
201883,RHABDOMYOSARCOMA URINARY BLADDER,188 RH,Cancer,2
206118,Malignant neoplasm of frontal sinus,B204.00,Cancer,2
260699,Malignant melanoma of buttock,B325200,Cancer,2
288103,"Malig neop of other site of heart, thymus and mediastinum",B24y.00,Cancer,2
224156,Malignant neoplasm of metatarsal bones of foot,B308.11,Cancer,2
233278,"Malignant neoplasm of ribs, sternum and clavicle",B303.00,Cancer,2
210818,LYMPHOBLASTIC LYMPHOSARCOMA,2001BL,Cancer,2
233275,Malignant neoplasm of overlapping lesion of bronchus & lung,B225.00,Cancer,2
215131,Malignant melanoma of thigh,B327100,Cancer,2
233271,Fibrosarcoma of spleen,B1z1100,Cancer,2
233341,Nodular lymphoma of intra-abdominal lymph nodes,B620300,Cancer,2
251557,Burkitt's lymphoma,B602.00,Cancer,2
297346,"Malignant neoplasm of lower lobe, bronchus or lung NOS",B224z00,Cancer,2
210801,MESOTHELIOMA PERITONEUM,1589MP,Cancer,2
260762,"Sezary's disease of lymph nodes of head, face and neck",B622100,Cancer,2
233263,"Malignant neoplasm, overlapping lesion of biliary tract",B163.00,Cancer,2
233262,Malignant neoplasm of common bile duct,B161200,Cancer,2
247099,MALIGNANT NEOPLASM BONE,1709A,Cancer,2
224192,Malignant neoplasm of cerebral ventricles,B515.00,Cancer,2
233256,Malignant neoplasm of abdominal oesophagus,B102.00,Cancer,2
279007,Malig neop connective and soft tissue of popliteal space,B312200,Cancer,2
279026,Malignant neoplasm of vulva unspecified,B454.00,Cancer,2
233253,Malignant neoplasm of postcricoid region,B080.00,Cancer,2
260658,Malignant neoplasm of other sites of gum,B03y.00,Cancer,2
215077,Malignant neoplasm of anterior 2/3 of tongue ventral surface,B013000,Cancer,2
269946,Malignant melanoma of hip,B327000,Cancer,2
210810,PAGET'S DISEASE NIPPLE,174 PN,Cancer,2
233247,Malignant neoplasm of anterior epiglottis,B064.00,Cancer,2
233245,Malignant neoplasm of ventral surface of tongue,B013.00,Cancer,2
219223,[V]Personal history of malignant neoplasm of stomach,ZV10018,Cancer,2
303160,LYMPHATIC LEUKAEMIA ACUTE,2040,Cancer,2
224148,Malignant neoplasm of ethmoid bone,B300000,Cancer,2
251585,Malignant neoplasm lymphatic or haematopoietic tissue NOS,B6z..00,Cancer,2
201890,NEOPLASM MALIGNANT,1991A,Cancer,2
303115,CARCINOMA BREAST,174 C,Cancer,2
237960,LEUKAEMIA GRANULOCYTIC CHRONIC,2051GR,Cancer,2
269967,Malignant neoplasm of other part of brain NOS,B51yz00,Cancer,2
215201,Leukaemic reticuloendotheliosis NOS,B624z00,Cancer,2
242334,"Malignant neoplasm, overlapping lesion of cervix uteri",B412.00,Cancer,2
242301,Malignant neoplasm of auditory (Eustachian) tube,B201000,Cancer,2
229019,MONOCYTIC LEUKAEMIA CHRONIC,2061,Cancer,2
229018,MYELOID LEUKAEMIA ACUTE,2050,Cancer,2
260669,Malignant neoplasm of oesophagus NOS,B10z.00,Cancer,2
229015,FRANKLIN'S DISEASE,203 FR,Cancer,2
228301,[V]Personal history of other specified malignant neoplasm,ZV10y00,Cancer,2
251465,Malignant neoplasm of dorsum of tongue NOS,B011z00,Cancer,2
215086,Malignant neoplasm of upper third of oesophagus,B103.00,Cancer,2
229005,MENINGIOMA BRAIN MALIGNANT,1929MN,Cancer,2
288114,"Malig neop of connective and soft tissue head, face and neck",B310.00,Cancer,2
228996,MALIGNANT NEOPLASM UTERUS,1829A,Cancer,2
229020,LEUKAEMIA STEM CELL,2070BM,Cancer,2
229013,HODGKIN'S DISEASE,201,Cancer,2
242325,Malignant neoplasm of skin of neck,B334100,Cancer,2
215197,Hodgkin's disease NOS,B61z.00,Cancer,2
269949,Malignant neoplasm of skin of chin,B333100,Cancer,2
228988,MALIGNANT NEOPLASM ILEUM,1528LA,Cancer,2
215121,Malignant neoplasm of soft tissue of head,B310000,Cancer,2
303121,ADENOCARCINOMA UTERUS,1830AU,Cancer,2
233336,Hodgkin's sarcoma of lymph nodes of multiple sites,B612800,Cancer,2
269968,Malignant neoplasm of spinal pia mater,B523200,Cancer,2
283749,MALIGNANT NEOPLASM CAROTID ARTERY,1710AC,Cancer,2
297351,Malignant neoplasm of sphenoid bone,B300700,Cancer,2
251520,Malignant neoplasm of other specified skin sites,B33y.00,Cancer,2
215210,Myeloid sarcoma NOS,B653z00,Cancer,2
233291,Malignant melanoma of umbilicus,B325600,Cancer,2
242368,Lymphosarcoma of lymph nodes of multiple sites,B601800,Cancer,2
215089,Malignant neoplasm of pylorus of stomach,B111.00,Cancer,2
303105,PANCREAS CARCINOMA,1579C,Cancer,2
269934,Lung cancer,B22z.11,Cancer,2
233268,Malignant neoplasm of parietal peritoneum,B18y400,Cancer,2
279039,Malignant neoplasm of cerebral pia mater,B521200,Cancer,2
269923,Malignant neoplasm of periadrenal tissue,B180000,Cancer,2
242389,Chronic lymphoid leukaemia,B641.00,Cancer,2
229014,BRILL- SYMMERS DISEASE,2020BR,Cancer,2
242286,Malignant neoplasm of lateral wall of nasopharynx NOS,B072z00,Cancer,2
224115,Cancers,B....11,Cancer,2
283776,LEUKAEMIA HAIRY CELL TYPE,2062,Cancer,2
224179,Malignant neoplasm of ectopic site of female breast,B34y000,Cancer,2
224146,"Malignant neoplasm of lower lobe, bronchus or lung",B224.00,Cancer,2
278999,Malignant neoplasm of scapula,B304000,Cancer,2
206129,Malig neop of connective and soft tissue of inguinal region,B315100,Cancer,2
233258,Malignant neoplasm of small intestine and duodenum,B12..00,Cancer,2
251502,Malignant neoplasm of connective and soft tissue of fore-arm,B311200,Cancer,2
256337,LYMPHOMA  BURKITT'S,2022BK,Cancer,2
260763,Sezary's disease of intrapelvic lymph nodes,B622600,Cancer,2
288174,Malignant mast cell tumour NOS,B626z00,Cancer,2
260751,Hodgkin's granuloma of intrathoracic lymph nodes,B611200,Cancer,2
233315,Malignant neoplasm of jaw NOS,B550300,Cancer,2
260779,Myeloproliferative disease,B6y0.11,Cancer,2
279001,"Malignant neoplasm of pelvic bones, sacrum and coccyx",B306.00,Cancer,2
274654,MALIGNANT NEOPLASM PHARYNX,149 AT,Cancer,2
224244,Myelomonocytic leukaemia,B69..00,Cancer,2
265567,LYMPHOCYTIC LEUKAEMIA,2049,Cancer,2
297428,"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck",B613100,Cancer,2
269994,"Hodgkin's lymphocytic depletion of head, face and neck",B616100,Cancer,2
297440,Leukaemic reticuloendotheliosis,B624.00,Cancer,2
260711,Malignant neoplasm of endocervix NOS,B410z00,Cancer,2
247118,FOLLICULAR LYMPHOBLASTOMA,2020FB,Cancer,2
274660,MALIGNANT NEOPLASM SMALL INTESTINE,1529A,Cancer,2
224198,"Mal neoplasm/periph nerves??? nervous system,unspc",B524W00,Cancer,2
279004,Malignant neoplasm/overlap lesion/bone??? cartilage,B30W.00,Cancer,2
215132,Malignant melanoma of popliteal fossa area,B327300,Cancer,2
260759,Nodular lymphoma of intrapelvic lymph nodes,B620600,Cancer,2
297366,Malignant melanoma of upper arm,B326100,Cancer,2
224242,Leukaemia of unspecified cell type,B68..00,Cancer,2
269955,Malignant neoplasm of body of penis,B482.00,Cancer,2
251511,Malignant melanoma of great toe,B327900,Cancer,2
224134,Malignant neoplasm of interlobular bile ducts,B151000,Cancer,2
251582,Lymphosarcoma cell leukaemia,B67y000,Cancer,2
279033,Malignant neoplasm of iris,B500100,Cancer,2
260702,Malignant melanoma of lower limb and hip,B327.00,Cancer,2
279055,Lymphosarcoma and reticulosarcoma,B60..00,Cancer,2
283762,MALIGNANT NEOPLASM KNEE,1959DC,Cancer,2
297347,"Malignant neoplasm of thymus, heart and mediastinum",B24..00,Cancer,2
251576,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma,B627700,Cancer,2
297379,Malignant neoplasm/overlapping lesion/feml genital organs,B45X.00,Cancer,2
224221,Lymphosarcoma of intrapelvic lymph nodes,B601600,Cancer,2
224220,Lymphosarcoma of lymph nodes of inguinal region and leg,B601500,Cancer,2
260726,Malignant neoplasm of globus pallidus,B510300,Cancer,2
224141,Malignant neoplasm of larynx,B21..00,Cancer,2
346290,Malignant neoplasm of endometrium,B430211,Cancer,2
233246,Malignant neoplasm of anterior 2/3 of tongue unspecified,B014.00,Cancer,2
297367,Malignant melanoma of finger,B326400,Cancer,2
279082,Unspec malig neop lymphoid/histiocytic of spleen,B62z700,Cancer,2
210813,TERATOMA,186 TA,Cancer,2
265548,TUMOUR TESTIS SERTOLI CELL,186 AN,Cancer,2
265549,SARCOMA TESTIS,186 RC,Cancer,2
260705,Malignant neoplasm of skin of lower leg,B337400,Cancer,2
219225,[V]Personal history of malignant neoplasm of ovary,ZV10414,Cancer,2
256311,MALIGNANT NEOPLASM CHEEK INTERNAL,1450A,Cancer,2
242299,Malignant neoplasm of nasal conchae,B200100,Cancer,2
242300,"Malig neop auditory tube, middle ear and mastoid air cells",B201.00,Cancer,2
206119,Malignant neoplasm of sphenoidal sinus,B205.00,Cancer,2
242302,"Malignant neoplasm of larynx, other specified site",B21y.00,Cancer,2
242303,Malignant neoplasm of mucosa of trachea,B220100,Cancer,2
297426,"Hodgkin's sarcoma of lymph nodes of head, face and neck",B612100,Cancer,2
206142,Malignant neoplasm of skin of breast,B335200,Cancer,2
233289,Malignant melanoma of breast,B325100,Cancer,2
215205,Plasma cell leukaemia,B631.00,Cancer,2
242312,Malignant neoplasm of carpal bone - lunate,B305100,Cancer,2
297385,Malignant neoplasm of crystalline lens,B500200,Cancer,2
288185,Other and unspecified leukaemia NOS,B67yz00,Cancer,2
215418,[X]Other types of diffuse non-Hodgkin's lymphoma,ByuD200,Cancer,2
306064,ADENOLYMPHOMA,2029AL,Cancer,2
303135,GLIOMA,1929GL,Cancer,2
242332,Malignant neoplasm of cervix uteri,B41..00,Cancer,2
251483,Carcinoma gallbladder,B160.11,Cancer,2
215136,Malignant neoplasm of canthus,B331000,Cancer,2
251506,Malignant melanoma of external surface of cheek,B323000,Cancer,2
242331,Malignant neoplasm of genitourinary organ,B4...00,Cancer,2
224150,Malignant neoplasm of thoracic vertebra,B302100,Cancer,2
260694,"Malignant neoplasm/bones??? cartilage/limb,unspfd",B30X.00,Cancer,2
233287,Malignant melanoma of auricle (ear),B322000,Cancer,2
303134,ASTROCYTOMA,1929AC,Cancer,2
297422,Hodgkin's disease,B61..00,Cancer,2
279028,Malignant neoplasm of descended testis,B471.00,Cancer,2
242344,Malignant neoplasm of ciliary body,B500000,Cancer,2
260984,"[X]Non-Hodgkin's lymphoma, unspecified type",ByuDF00,Cancer,2
251577,Malignant lymphoma NOS,B62y.00,Cancer,2
242348,Malignant neoplasm of spinal arachnoid mater,B523100,Cancer,2
270002,Mast cell malignancy of intra-abdominal lymph nodes,B626300,Cancer,2
303107,CARCINOMA BRONCHUS,1621CB,Cancer,2
242354,"Malignant neoplasm-pluriglandular involvement,unspecified",B54X.00,Cancer,2
242355,Malignant neoplasm of other specified endocrine gland,B54y.00,Cancer,2
206110,Malignant neoplasm of retroperitoneum and peritoneum,B18..00,Cancer,2
201882,MALIGNANT NEOPLASM PENIS,1870A,Cancer,2
206124,Chondroma,B30..11,Cancer,2
247123,MONOCYTIC LEUKAEMIA ACUTE,2060,Cancer,2
224133,Primary angiosarcoma of liver,B150200,Cancer,2
247120,ADENITIS LEUKAEMIC,2049AT,Cancer,2
242319,Malignant neoplasm of connective and other soft tissue,B31..00,Cancer,2
297445,Acute myeloid leukaemia,B650.00,Cancer,2
260775,Chronic monocytic leukaemia,B661.00,Cancer,2
346189,Malignant sacral teratoma,B306500,Cancer,2
269928,Malignant neoplasm of nasal cavities NOS,B200z00,Cancer,2
269992,Hodgkin's mixed cellularity of intrathoracic lymph nodes,B615200,Cancer,2
260676,Malignant neoplasm of retroperitoneum and peritoneum NOS,B18z.00,Cancer,2
260760,Mycosis fungoides of intra-abdominal lymph nodes,B621300,Cancer,2
251538,Malig neop of other and unspecified parts of nervous system,B52..00,Cancer,2
283775,MYELOPROLIFERATIVE DISEASE CHRONIC,2059MR,Cancer,2
206173,Malignant neoplasm of back NOS,B55y000,Cancer,2
233279,Malignant neoplasm of scapula and long bones of upper arm,B304.00,Cancer,2
242385,Unspec malig neop lymphoid/histiocytic of intrathoracic node,B62z200,Cancer,2
206174,Malignant neoplasm of trunk NOS,B55y100,Cancer,2
233270,Malig neop oth/ill-defined sites digestive tract/peritoneum,B1z..00,Cancer,2
283778,ERYTHROLEUKAEMIA,2072EL,Cancer,2
297398,Malignant neoplasm of peripheral nerve of thorax,B524300,Cancer,2
278988,Malignant neoplasm of spleen NEC,B1z1.00,Cancer,2
233316,Malignant neoplasm of flank NOS,B55y200,Cancer,2
233317,Malignant neoplasm of other and ill defined site NOS,B55z.00,Cancer,2
292871,MALIGNANT NEOPLASM MOUTH,1459A,Cancer,2
242611,[X]Mesothelioma of lung,Byu5011,Cancer,2
260687,Malignant neoplasm of sternum,B303100,Cancer,2
297372,Malignant neoplasm of female breast,B34..00,Cancer,2
256345,ERYTHROBLASTOMA,208 BL,Cancer,2
297324,Malignant neoplasm of roof of nasopharynx,B070.00,Cancer,2
228987,MALIGNANT NEOPLASM STOMACH,1519A,Cancer,2
237935,MALIGNANT NEOPLASM DUODENUM,1520A,Cancer,2
224243,Acute leukaemia NOS,B680.00,Cancer,2
279038,Malignant neoplasm of brain NOS,B51z.00,Cancer,2
228990,MALIGNANT NEOPLASM BILE/BILIARY TRACT,1569A,Cancer,2
242305,Mesothelioma of pleura,B232.00,Cancer,2
303091,OESOPHAGUS CARCINOMA,150 C,Cancer,2
206125,Malignant neoplasm of vertebral column NOS,B302z00,Cancer,2
260671,Gastric neoplasm,B11..11,Cancer,2
292882,CARCINOMA VOCAL CORD,1619CV,Cancer,2
215160,Malignant neoplasm of basal ganglia,B510000,Cancer,2
260979,[X]Malignant neoplasm/overlapping lesion/feml genital organs,Byu7200,Cancer,2
251495,Malignant neoplasm of talus,B308100,Cancer,2
297341,"Malig neop other site nasal cavity, middle ear and sinuses",B20y.00,Cancer,2
206210,Subacute monocytic leukaemia,B662.00,Cancer,2
233353,Malignant lymphoma NOS of intra-abdominal lymph nodes,B62y300,Cancer,2
242322,Malig neoplasm of connective and soft tissues of lumb spine,B314100,Cancer,2
215414,"[X]Mal neoplasm/connective? tissue of trunk,unspecified",Byu5800,Cancer,2
224177,Malignant neoplasm of upper-outer quadrant of female breast,B344.00,Cancer,2
206167,"Malignant neoplasm,overlap lesion periph nerve & auton ns",B524600,Cancer,2
274668,MALIGNANT NEOPLASM AMPULLA OF VATER,1562A,Cancer,2
260682,Osteoma,B30..12,Cancer,2
224168,Epithelioma,B33..12,Cancer,2
269973,Malignant neoplasm of nose NOS,B550200,Cancer,2
265553,MALIGNANT NEOPLASM NERVOUS SYSTEM,1929A,Cancer,2
233297,Malignant neoplasm of skin of hip,B337000,Cancer,2
224129,Malignant neoplasm of sigmoid colon,B133.00,Cancer,2
256315,MALIGNANT NEOPLASM HEART,1711AH,Cancer,2
274019,[V]Personal history of malignant neoplasm of nose,ZV10214,Cancer,2
215410,[X]Malignant neoplasm of respiratory and intrathoracic orga,Byu2.00,Cancer,2
279027,Primary vulval cancer,B454.11,Cancer,2
306050,GASTROINTESTINAL CARCINOMA,159 C,Cancer,2
215146,Malignant neoplasm of nipple or areola of male breast NOS,B350z00,Cancer,2
229009,MALIGNANT NEOPLASM INGUINAL,1959BE,Cancer,2
251490,Carcinoma of respiratory tract and intrathoracic organs,B2...11,Cancer,2
233250,Malignant neoplasm of oropharynx NOS,B06z.00,Cancer,2
228984,MALIGNANT NEOPLASM LIP,1409A,Cancer,2
