read_code,v36_v2_id,v36_v2_term,v36_v2,v36_v3_id,v36_v3_term,v36_v3,v37_v2_id,v37_v2_term,v37_v2,v37_v3_id,v37_v3_term,v37_v3,v38_v2_id,v38_v2_term,v38_v2,v38_v3_id,v38_v3_term,v38_v3
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1,COPD_COD,Chronic asthmatic bronchitis,1
H33..,AST_COD,Asthma,1,AST_COD,Asthma,1,AST_COD,Asthma,1,AST_COD,Asthma,1,AST_COD,Asthma,1,AST_COD,Asthma,1
H330.,AST_COD,Extrinsic (atopic) asthma,1,AST_COD,Asthma: [extrinsic - atopic] or [allergic] or [pollen] or [childhood] or [with hay fever],1,AST_COD,Extrinsic (atopic) asthma,1,AST_COD,Asthma: [extrinsic - atopic] or [allergic] or [pollen] or [childhood] or [with hay fever],1,AST_COD,Extrinsic (atopic) asthma,1,AST_COD,Asthma: [extrinsic - atopic] or [allergic] or [pollen] or [childhood] or [with hay fever],1
H3300,AST_COD,Extrinsic asthma without status asthmaticus,1,AST_COD,(Hay fever with asthma) or (extrinsic asthma without status asthmaticus),1,AST_COD,Extrinsic asthma without status asthmaticus,1,AST_COD,(Hay fever with asthma) or (extrinsic asthma without status asthmaticus),1,AST_COD,Extrinsic asthma without status asthmaticus,1,AST_COD,(Hay fever with asthma) or (extrinsic asthma without status asthmaticus),1
H3301,AST_COD,Extrinsic asthma with status asthmaticus,1,AST_COD,Extrinsic asthma with: [asthma attack] or [status asthmaticus],1,AST_COD,Extrinsic asthma with status asthmaticus,1,AST_COD,Extrinsic asthma with: [asthma attack] or [status asthmaticus],1,AST_COD,Extrinsic asthma with status asthmaticus,1,AST_COD,Extrinsic asthma with: [asthma attack] or [status asthmaticus],1
H330z,AST_COD,Extrinsic asthma NOS,1,AST_COD,Extrinsic asthma NOS,1,AST_COD,Extrinsic asthma NOS,1,AST_COD,Extrinsic asthma NOS,1,AST_COD,Extrinsic asthma NOS,1,AST_COD,Extrinsic asthma NOS,1
H331.,AST_COD,Intrinsic asthma,1,AST_COD,(Intrinsic asthma) or (late onset asthma),1,AST_COD,Intrinsic asthma,1,AST_COD,(Intrinsic asthma) or (late onset asthma),1,AST_COD,Intrinsic asthma,1,AST_COD,(Intrinsic asthma) or (late onset asthma),1
H3310,AST_COD,Intrinsic asthma without status asthmaticus,1,AST_COD,Intrinsic asthma without status asthmaticus,1,AST_COD,Intrinsic asthma without status asthmaticus,1,AST_COD,Intrinsic asthma without status asthmaticus,1,AST_COD,Intrinsic asthma without status asthmaticus,1,AST_COD,Intrinsic asthma without status asthmaticus,1
H3311,AST_COD,Intrinsic asthma with status asthmaticus,1,AST_COD,Intrinsic asthma with: [asthma attack] or [status asthmaticus],1,AST_COD,Intrinsic asthma with status asthmaticus,1,AST_COD,Intrinsic asthma with: [asthma attack] or [status asthmaticus],1,AST_COD,Intrinsic asthma with status asthmaticus,1,AST_COD,Intrinsic asthma with: [asthma attack] or [status asthmaticus],1
H331z,AST_COD,Intrinsic asthma NOS,1,AST_COD,Intrinsic asthma NOS,1,AST_COD,Intrinsic asthma NOS,1,AST_COD,Intrinsic asthma NOS,1,AST_COD,Intrinsic asthma NOS,1,AST_COD,Intrinsic asthma NOS,1
H332.,AST_COD,Mixed asthma,1,AST_COD,Mixed asthma,1,AST_COD,Mixed asthma,1,AST_COD,Mixed asthma,1,AST_COD,Mixed asthma,1,AST_COD,Mixed asthma,1
H334.,AST_COD,Brittle asthma,1,NA,NA,NA,AST_COD,Brittle asthma,1,NA,NA,NA,AST_COD,Brittle asthma,1,NA,NA,NA
H335.,AST_COD,Chronic asthma with fixed airflow obstruction,1,NA,NA,NA,AST_COD,Chronic asthma with fixed airflow obstruction,1,NA,NA,NA,AST_COD,Chronic asthma with fixed airflow obstruction,1,NA,NA,NA
H33z.,AST_COD,Asthma unspecified,1,AST_COD,Asthma unspecified,1,AST_COD,Asthma unspecified,1,AST_COD,Asthma unspecified,1,AST_COD,Asthma unspecified,1,AST_COD,Asthma unspecified,1
H33z0,AST_COD,Status asthmaticus NOS,1,AST_COD,(Severe asthma attack) or (status asthmaticus NOS),1,AST_COD,Status asthmaticus NOS,1,AST_COD,(Severe asthma attack) or (status asthmaticus NOS),1,AST_COD,Status asthmaticus NOS,1,AST_COD,(Severe asthma attack) or (status asthmaticus NOS),1
H33z1,AST_COD,Asthma attack,1,AST_COD,Asthma attack (& NOS),1,AST_COD,Asthma attack,1,AST_COD,Asthma attack (& NOS),1,AST_COD,Asthma attack,1,AST_COD,Asthma attack (& NOS),1
H33z2,AST_COD,Late-onset asthma,1,NA,NA,NA,AST_COD,Late-onset asthma,1,NA,NA,NA,AST_COD,Late-onset asthma,1,NA,NA,NA
H33zz,AST_COD,Asthma NOS,1,AST_COD,(Asthma: [exercise induced] or [allergic NEC] or [NOS]) or (allergic bronchitis NEC),1,AST_COD,Asthma NOS,1,AST_COD,(Asthma: [exercise induced] or [allergic NEC] or [NOS]) or (allergic bronchitis NEC),1,AST_COD,Asthma NOS,1,AST_COD,(Asthma: [exercise induced] or [allergic NEC] or [NOS]) or (allergic bronchitis NEC),1
H3B..,AST_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA,AST_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA,AST_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA
H3B..,AST_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA,AST_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA,COPD_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA
H3B..,AST_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA,COPD_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA,AST_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA
H3B..,AST_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA,COPD_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA,COPD_COD,Asthma-chronic obstructive pulmonary disease overlap syndrome,1,NA,NA,NA
9hA..,ASTEXC_COD,Exception reporting: asthma quality indicators,1,NA,NA,NA,ASTEXC_COD,Exception reporting: asthma quality indicators,1,NA,NA,NA,ASTEXC_COD,Exception reporting: asthma quality indicators,1,NA,NA,NA
9hA1.,ASTEXC_COD,Excepted from asthma quality indicators: Patient unsuitable,1,NA,NA,NA,ASTEXC_COD,Excepted from asthma quality indicators: Patient unsuitable,1,NA,NA,NA,ASTEXC_COD,Excepted from asthma quality indicators: Patient unsuitable,1,NA,NA,NA
9hA2.,ASTEXC_COD,Excepted from asthma quality indicators: Informed dissent,1,NA,NA,NA,ASTEXC_COD,Excepted from asthma quality indicators: Informed dissent,1,NA,NA,NA,ASTEXC_COD,Excepted from asthma quality indicators: Informed dissent,1,NA,NA,NA
9OJ2.,ASTEXC_COD,Refuses asthma monitoring,1,ASTEXC_COD,Refuses asthma monitoring,1,ASTEXC_COD,Refuses asthma monitoring,1,ASTEXC_COD,Refuses asthma monitoring,1,ASTEXC_COD,Refuses asthma monitoring,1,ASTEXC_COD,Refuses asthma monitoring,1
21262,ASTRES_COD,Asthma resolved,1,ASTRES_COD,Asthma resolved,1,ASTRES_COD,Asthma resolved,1,ASTRES_COD,Asthma resolved,1,ASTRES_COD,Asthma resolved,1,ASTRES_COD,Asthma resolved,1
212G.,ASTRES_COD,Asthma resolved,1,NA,NA,NA,ASTRES_COD,Asthma resolved,1,NA,NA,NA,ASTRES_COD,Asthma resolved,1,NA,NA,NA
33G1.,ASTSPIR_COD,Spirometry reversibility positive,1,NA,NA,NA,ASTSPIR_COD,Spirometry reversibility positive,1,NA,NA,NA,ASTSPIR_COD,Spirometry reversibility positive,1,NA,NA,NA
33H1.,ASTSPIR_COD,Positive reversibility test to salbutamol,1,NA,NA,NA,ASTSPIR_COD,Positive reversibility test to salbutamol,1,NA,NA,NA,ASTSPIR_COD,Positive reversibility test to salbutamol,1,NA,NA,NA
33I1.,ASTSPIR_COD,Positive reversibility test to ipratropium bromide,1,NA,NA,NA,ASTSPIR_COD,Positive reversibility test to ipratropium bromide,1,NA,NA,NA,ASTSPIR_COD,Positive reversibility test to ipratropium bromide,1,NA,NA,NA
33J1.,ASTSPIR_COD,Positive reversibility test to a combination of salbutamol and ipratropium bromide,1,NA,NA,NA,ASTSPIR_COD,Positive reversibility test to a combination of salbutamol and ipratropium bromide,1,NA,NA,NA,ASTSPIR_COD,Positive reversibility test to a combination of salbutamol and ipratropium bromide,1,NA,NA,NA
33K1.,ASTSPIR_COD,Positive reversibility test to corticosteroids,1,NA,NA,NA,ASTSPIR_COD,Positive reversibility test to corticosteroids,1,NA,NA,NA,ASTSPIR_COD,Positive reversibility test to corticosteroids,1,NA,NA,NA
663J.,ASTSPIR_COD,Airways obstruction reversible,1,ASTSPIR_COD,Airways obstruction reversible,1,ASTSPIR_COD,Airways obstruction reversible,1,ASTSPIR_COD,Airways obstruction reversible,1,ASTSPIR_COD,Airways obstruction reversible,1,ASTSPIR_COD,Airways obstruction reversible,1
745D4,ASTSPIR_COD,Post bronchodilator spirometry,1,NA,NA,NA,ASTSPIR_COD,Post bronchodilator spirometry,1,NA,NA,NA,ASTSPIR_COD,Post bronchodilator spirometry,1,NA,NA,NA
8HRC.,ASTSPIR_COD,Referral for spirometry,1,NA,NA,NA,ASTSPIR_COD,Referral for spirometry,1,NA,NA,NA,ASTSPIR_COD,Referral for spirometry,1,NA,NA,NA
c1...,ASTTRT_COD,SELECTIVE BETA-ADRENOCEPTOR STIMULANT,1,ASTTRT_COD,Selective beta-2 adrenoceptor stimulants,1,ASTTRT_COD,SELECTIVE BETA-ADRENOCEPTOR STIMULANT,1,ASTTRT_COD,Selective beta-2 adrenoceptor stimulants,1,ASTTRT_COD,SELECTIVE BETA-ADRENOCEPTOR STIMULANT,1,ASTTRT_COD,Selective beta-2 adrenoceptor stimulants,1
c11..,ASTTRT_COD,SALBUTAMOL [ORAL PREPARATIONS],1,ASTTRT_COD,Salbutamol [oral preparations],1,ASTTRT_COD,SALBUTAMOL [ORAL PREPARATIONS],1,ASTTRT_COD,Salbutamol [oral preparations],1,ASTTRT_COD,SALBUTAMOL [ORAL PREPARATIONS],1,ASTTRT_COD,Salbutamol [oral preparations],1
c111.,ASTTRT_COD,*ASMAVEN 2mg tablets,1,ASTTRT_COD,Asmaven 2mg tablet,1,ASTTRT_COD,*ASMAVEN 2mg tablets,1,ASTTRT_COD,Asmaven 2mg tablet,1,ASTTRT_COD,*ASMAVEN 2mg tablets,1,ASTTRT_COD,Asmaven 2mg tablet,1
c112.,ASTTRT_COD,*ASMAVEN 4mg tablets,1,ASTTRT_COD,Asmaven 4mg tablet,1,ASTTRT_COD,*ASMAVEN 4mg tablets,1,ASTTRT_COD,Asmaven 4mg tablet,1,ASTTRT_COD,*ASMAVEN 4mg tablets,1,ASTTRT_COD,Asmaven 4mg tablet,1
c113.,ASTTRT_COD,*COBUTOLIN 2mg tablets,1,ASTTRT_COD,Cobutolin 2mg tablet,1,ASTTRT_COD,*COBUTOLIN 2mg tablets,1,ASTTRT_COD,Cobutolin 2mg tablet,1,ASTTRT_COD,*COBUTOLIN 2mg tablets,1,ASTTRT_COD,Cobutolin 2mg tablet,1
c114.,ASTTRT_COD,*COBUTOLIN 4mg tablets,1,ASTTRT_COD,Cobutolin 4mg tablet,1,ASTTRT_COD,*COBUTOLIN 4mg tablets,1,ASTTRT_COD,Cobutolin 4mg tablet,1,ASTTRT_COD,*COBUTOLIN 4mg tablets,1,ASTTRT_COD,Cobutolin 4mg tablet,1
c115.,ASTTRT_COD,*SALBULIN 2mg tablets,1,ASTTRT_COD,Salbulin 2mg tablet,1,ASTTRT_COD,*SALBULIN 2mg tablets,1,ASTTRT_COD,Salbulin 2mg tablet,1,ASTTRT_COD,*SALBULIN 2mg tablets,1,ASTTRT_COD,Salbulin 2mg tablet,1
c116.,ASTTRT_COD,*SALBULIN 4mg tablets,1,ASTTRT_COD,Salbulin 4mg tablet,1,ASTTRT_COD,*SALBULIN 4mg tablets,1,ASTTRT_COD,Salbulin 4mg tablet,1,ASTTRT_COD,*SALBULIN 4mg tablets,1,ASTTRT_COD,Salbulin 4mg tablet,1
c117.,ASTTRT_COD,*SALBULIN 2mg/2mL liquid,1,ASTTRT_COD,Salbulin 2mg/2mL liquid,1,ASTTRT_COD,*SALBULIN 2mg/2mL liquid,1,ASTTRT_COD,Salbulin 2mg/2mL liquid,1,ASTTRT_COD,*SALBULIN 2mg/2mL liquid,1,ASTTRT_COD,Salbulin 2mg/2mL liquid,1
c118.,ASTTRT_COD,*VENTOLIN 2mg tablets,1,ASTTRT_COD,Ventolin 2mg tablet,1,ASTTRT_COD,*VENTOLIN 2mg tablets,1,ASTTRT_COD,Ventolin 2mg tablet,1,ASTTRT_COD,*VENTOLIN 2mg tablets,1,ASTTRT_COD,Ventolin 2mg tablet,1
c119.,ASTTRT_COD,*VENTOLIN 4mg tablets,1,ASTTRT_COD,Ventolin 4mg tablet,1,ASTTRT_COD,*VENTOLIN 4mg tablets,1,ASTTRT_COD,Ventolin 4mg tablet,1,ASTTRT_COD,*VENTOLIN 4mg tablets,1,ASTTRT_COD,Ventolin 4mg tablet,1
c11a.,ASTTRT_COD,*VENTOLIN 8mg m/r tablets,1,ASTTRT_COD,Ventolin 8mg m/r tablet,1,ASTTRT_COD,*VENTOLIN 8mg m/r tablets,1,ASTTRT_COD,Ventolin 8mg m/r tablet,1,ASTTRT_COD,*VENTOLIN 8mg m/r tablets,1,ASTTRT_COD,Ventolin 8mg m/r tablet,1
